gene_symbol,log2fc,pvalue,padj
SNORD115-10,-2.2343494353335847,0.046651168,0.046651168
SNORD116-28,-1.0308514200668824,0.035422519,0.035422519
DDTL,0.47108594832433254,0.013654678,0.013654678
SNORD127,-1.1393964888634642,0.018343197,0.018343197
SMARCA5-AS1,-0.2632765294215648,0.048534142,0.048534142
LOC100128361,0.48328748407165256,0.015114235,0.015114235
LINC00484,2.558662799012206,0.023028382,0.023028382
LYRM4-AS1,-0.3889084358093339,0.009407387,0.009407387
LINC01460,-1.049044930627856,0.045409674,0.045409674
LINC00552,3.5715978041770677,0.021053403,0.021053403
LINC02593,0.9924883917087153,0.009654381,0.009654381
LOC100130744,0.46187630135894736,0.037832863,0.037832863
UXT-AS1,-0.10899929740261183,0.030652184,0.030652184
PDCD6IP,-0.20924512947719978,0.04277397,0.04277397
TRK-CTT3-1,-0.6904476127632432,0.048375788,0.048375788
LOC100192426,1.6987354568247566,0.027947834,0.027947834
PCED1B-AS1,1.8119060595631247,0.018753174,0.018753174
LINC00899,-1.4464277963319196,0.024540844,0.024540844
LINC01630,1.5451458157795193,0.045085911,0.045085911
LOC100288637,-0.7135184915135377,0.032706112,0.032706112
MIR1276,-2.002674134512455,0.019155955,0.019155955
MIR1182,0.5503313505436388,0.037008054,0.037008054
MIR1231,1.370760517217632,0.015604526,0.015604526
MIR1976,2.5416317742984935,0.018314397,0.018314397
MIR1909,0.6044252075252128,0.04713023,0.04713023
MIR1238,1.5889852335922507,0.03912639,0.03912639
MIR1227,0.5115751347867726,0.044519876,0.044519876
LINC00184,2.9993425587236295,0.018269648,0.018269648
MIR181A2HG,0.8785118852843516,0.016481687,0.016481687
TOM1L1,-0.3088097556100407,0.044483786,0.044483786
LINC02532,4.389161084840356,0.009822338,0.009822338
MIR3162,-1.5845130961985816,0.013935235,0.013935235
MIR3198-1,-2.168150880288659,0.03080372,0.03080372
MAMLD1,-0.5800589444033846,0.045745773000000003,0.045745773000000003
MTRNR2L3,-1.2061573477432077,0.016511755,0.016511755
MIR3614,-0.7544397355822442,0.019304786,0.019304786
MIR3944,3.588048197293853,0.023042678,0.023042678
TEX48,3.1673863855167985,0.028230434,0.028230434
LINC00578,1.6597274161787203,0.01090821,0.01090821
LINC01094,-2.898384118737907,0.004115576,0.004115576
SLIT2-IT1,1.5586798606583345,0.001652354,0.001652354
LUCAT1,1.1064090059025897,0.013142997,0.013142997
LOC100506281,0.5980844594752941,0.046749731,0.046749731
RPH3AL-AS1,2.1153410553184204,0.017894552,0.017894552
VASH1-AS1,0.21835198601229466,0.049560892,0.049560892
LINC02308,2.97471745848458,0.039100363,0.039100363
VIM-AS1,-0.8609723739116808,0.008619619,0.008619619
