gene_symbol,log2fc,pvalue,padj
SNORD116-28,-0.7781361354926722,0.038559632,0.038559632
GTF2IP4,0.433220344768025,0.03407698,0.03407698
LOC100128340,-1.0675006093037969,0.016213801,0.016213801
LINC01349,1.9407951868904134,0.004696585,0.004696585
THCAT155,1.0606681182474957,0.045933387,0.045933387
LINC01546,-1.7831678180163335,0.039607536,0.039607536
FGF13-AS1,0.9483983686028052,0.04971076,0.04971076
HMGA2-AS1,1.1922610056587613,0.029438786,0.029438786
MAPT-IT1,1.0743070740805873,0.031873379,0.031873379
WAKMAR2,0.9672972259950643,0.043723722,0.043723722
LINC01387,2.1971233361296854,0.025219924,0.025219924
LOC100132062,-0.42072224439828537,0.039697569,0.039697569
CALML3-AS1,-2.1568766863714037,0.027834576,0.027834576
LOC100132287,-0.46604147823521447,0.037560805,0.037560805
FGD5P1,0.9998453788083296,0.002396795,0.002396795
IPO5P1,0.357964137090355,0.039448697,0.039448697
TNIP2P1,3.1502227518598636,0.038877419,0.038877419
FAM27C,-0.6402783392540564,0.041996312,0.041996312
FAM95B1,0.6493766375169074,0.02360769,0.02360769
LY6E-DT,0.5193330926980332,0.003991651,0.003991651
NDUFB2-AS1,0.25379600957966747,0.036358415,0.036358415
UBE2Q2P2,-0.4150374992788438,0.028663586,0.028663586
BCL2L11,0.4075370377459213,0.003619064,0.003619064
EML2-AS1,0.3477403094445411,0.030093636,0.030093636
LOC100287467,-0.4353934397913245,0.039569071,0.039569071
LINC02106,1.7132181240973277,0.027909152,0.027909152
SMIM10L2B-AS1,-1.7257844389169366,0.004807493,0.004807493
LOC100288637,-0.7126801291423669,0.019133368,0.019133368
LOC100289495,0.44992244556857625,0.041569208,0.041569208
MIR1231,1.148948191146643,0.042625868,0.042625868
MIR1179,2.5900198162625605,0.043523412,0.043523412
MIR4263,1.7267774327075167,0.028380892,0.028380892
MIR3134,-1.489006218268627,0.047311029,0.047311029
SH2D3C,0.5592669692223812,0.037445177,0.037445177
CDH7,1.5227864895341676,0.012742939,0.012742939
PRKAG2-AS1,0.44490075391099115,0.047752976,0.047752976
LINC02520,1.008657034191577,0.02615253,0.02615253
GOLGA7B-DT,1.431409889343508,0.042319843,0.042319843
LOC100506446,2.9771437239112144,0.036094327,0.036094327
LINC02274,0.8845107979423561,0.048466566,0.048466566
PRKG1-AS1,0.6944936386711217,0.025120678,0.025120678
LOC100507002,-0.3923060671002793,0.022236155,0.022236155
VIM-AS1,-0.6270724269982686,0.022173506,0.022173506
LOC100507351,0.7930024980869914,0.038923544,0.038923544
MICA,-1.2663732244506822,0.020537652,0.020537652
LOC100507560,1.285081433177908,0.018192523,0.018192523
LINC00658,1.4160816404868752,0.021039501,0.021039501
RNF212B,0.7282475889127118,0.003049936,0.003049936
LINC02554,1.1236793210126594,0.040625971,0.040625971
SMC4,-0.39561248551794814,0.037501798,0.037501798
CCDC169-SOHLH2,0.8271750845660075,0.007844539,0.007844539
SMIM35,0.5982608615378938,0.011209996,0.011209996
NEDD8-MDP1,0.1948965123595962,0.048581534,0.048581534
LRRC37A8P,1.7011471404225889,0.044218943,0.044218943
MIR4804,-1.28388969253668,0.032119287,0.032119287
MIR4709,-0.4695525277744294,0.02245209,0.02245209
MIR4673,-1.795819369209118,0.047530374,0.047530374
MIR4485,-1.9247504619297555,0.040486954,0.040486954
MIR5006,0.4299552954383239,0.03828829,0.03828829
MIR5587,-3.270612309840321,0.036159754,0.036159754
MIR5187,0.43025389950657256,0.03648656,0.03648656
LRRC3-DT,0.6623317237940625,0.003361623,0.003361623
LNX1-AS2,1.6986955770476808,0.029650243,0.029650243
DLEU7-AS1,1.218503552292871,0.039791539,0.039791539
LINC00365,1.2390784696936343,0.049458025,0.049458025
LINC00443,1.6567269169943941,0.015026534,0.015026534
ALDH1L1-AS1,-1.4418417151050942,0.014966119,0.014966119
IQCJ-SCHIP1-AS1,0.5883624034027413,0.03597391,0.03597391
ARPC5,0.1768531273010485,0.01801173,0.01801173
FAM230H,0.9072784153096031,0.038045359,0.038045359
LINC01664,1.384000402211827,0.006347404,0.006347404
FAM230D,1.141689220588842,0.039903768,0.039903768
FAM230F,1.3940491235597086,0.015366996,0.015366996
LINC02802,-0.4485381642476972,0.01066115,0.01066115
C4orf46P3,0.5252930212860124,0.045099958,0.045099958
TOB1,-0.43717726023413317,0.033038737,0.033038737
YTHDF3-DT,-0.4142771204869626,0.012375572,0.012375572
MMP24OS,0.4548509270474898,0.038892219,0.038892219
VPS33B-DT,0.6546843705315127,0.034722513000000003,0.034722513000000003
VIRMA-DT,0.6509579316163854,0.011843342,0.011843342
LOC101927042,-1.431470775138959,0.049825845,0.049825845
FAM111A-DT,-0.4367718134411047,0.039810269,0.039810269
LOC101927397,-1.9006791593506331,0.026668867,0.026668867
LOC101927410,1.6885879607318217,0.045435714,0.045435714
LINC01903,1.3830913493863748,0.016920907,0.016920907
QKILA,-1.5393761566830249,0.0393555,0.0393555
LOC101927588,0.5442199049342836,0.039971705,0.039971705
LOC101927602,-1.8712635471398054,0.039135359,0.039135359
LOC101927647,-0.7772713264624938,0.034708794,0.034708794
HSFX4,0.6691514570623226,0.015717593,0.015717593
LINC01524,2.732473468269313,0.021084023,0.021084023
SATB1-AS1,0.6112194371081214,0.047539026,0.047539026
LINC00368,1.0591204141923096,0.034599886,0.034599886
SLIT3-AS2,0.7394813411465454,0.032255798,0.032255798
CBLL1-AS1,0.32563279971508285,0.004721448,0.004721448
PSMD7-DT,2.0272792218132096,0.008358673,0.008358673
LOC101928263,-0.8806302945619019,0.021257591,0.021257591
PABPC1L2B-AS1,0.6330226975409897,0.044560286,0.044560286
LOC101928466,0.615107067833147,0.007397863,0.007397863
ZNF649-AS1,0.32376365752037284,0.020127745,0.020127745
P4HA3-AS1,-0.6853551350606812,0.010527563,0.010527563
SLC7A14-AS1,0.5740796341956312,0.032690377,0.032690377
CRADD-AS1,2.6721511973056873,0.01194707,0.01194707
PEX5L-AS2,1.1370274279729728,0.019134882,0.019134882
LINC01649,0.7550238742144666,0.004739508,0.004739508
