"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002181","cytoplasmic translation",163,-0.664185256447716,-2.8168850612233,1e-10,5.68666666666667e-08,4.71695906432749e-08,4599,"tags=52%, list=12%, signal=46%","EIF3F/RPL28/RPL35A/DENR/RPL41/RPLP1/PABPC1/RPS12/RPL13/HNRNPU/RPS27A/RPL15/EIF5/RPL34/RPL19/RPL6/RACK1/RPS3/RPL17/RPS4X/RPL23/EIF3M/RPS5/RPL29/EIF2S3/METTL3/RPL26/RPL7A/EIF3A/RPL13A/RPL10A/RPL7/RPS6/EIF2S3B/ZNF385A/EIF4A1/RPL3/RPL31/RPL37/RPS16/RPS27/RPL11/HNRNPD/RPL4/FMR1/RPLP0/RPS15A/EIF4A2/NCBP2/RPS3A/EIF3D/RPL5/RPS23/RPS17/RPL39/RPL36A/RPL27A/RPS11/RPL18A/RPL10/RPL30/RPS26/RPS15/RPLP2/RPL32/RPS8/RPL23A/SYNCRIP/EIF3E/CNBP/YBX3/NCK1/RPS24/RPS2/RPS25/ETF1/EIF3L/RPS13/EIF3H/EEF1D/IMPACT/RPL22/EIF2D/RPS9/RPL22L1"
"GO:0042254","ribosome biogenesis",314,-0.468824354129598,-2.14224612293295,1e-10,5.68666666666667e-08,4.71695906432749e-08,7989,"tags=45%, list=21%, signal=36%","DHX37/DIS3/RPL27/EXOSC9/NOC4L/RPF2/RPS19/NPM3/MALSU1/PAK1IP1/EXOSC6/GEMIN4/TRMT112/REXO4/CUL4B/RRP7BP/RPL10L/RPSA/DDX52/PRKDC/RRP1B/ZNF593/DCAF13/RPS7/NOM1/NOL6/DDX17/MRTO4/RPS14/WDR3/RPL35/MRM1/EXOSC2/WDR36/DKC1/CINP/NUP88/DDX47/C1QBP/NOP2/RPP38/ERI2/DDX3X/UTP6/RPL38/AK6/BYSL/HEATR1/SDAD1/DIMT1/RPL35A/MRPS7/NSA2/RRP7A/ERI1/METTL5/USP16/RPS12/NOP14/UTP25/RSL24D1/RPS27A/ZCCHC4/NIP7/EIF5/LOC102724159/AFG2A/DDX18/MTERF3/DDX21/MPV17L2/NOL8/UTP18/NOB1/RPS4X/TENT4B/NSUN4/EXOSC7/RPS5/WDR12/EFL1/RPL26/RBFA/RPL7A/TSR1/FASTKD2/RPL7/RPS6/METTL18/AIRIM/UTP23/UTP20/RAN/RPF1/NOL10/URB1/RPS16/RPS27/RPL11/PWP2/LYAR/GNL3L/RPS15A/NPM1/GAR1/FCF1/UTP15/RPS3A/DDX54/RPL5/RPS23/RPS17/METTL16/MAK16/RPS11/KRR1/URB2/TMA16/KRI1/RPS15/RPS8/ESF1/FBL/LSM6/NOA1/ZNF658/RBIS/LSG1/MTREX/CUL4A/RPS24/RPS25/EIF2A/RPS13/DDX10/RIOX2/NOP53/NAF1/RPSA2/RPS9/KAT2B/GLUL"
"GO:0010948","negative regulation of cell cycle process",329,-0.455592241523211,-2.08655865335282,1e-10,5.68666666666667e-08,4.71695906432749e-08,7092,"tags=38%, list=19%, signal=31%","SKA3/RBL2/RAD17/PRKDC/INTS7/CHEK1/GTSE1/FANCD2/TTI1/NUBP1/FHL1/SPC25/TRIAP1/CDK5RAP2/BTN2A2/RAD1/NSUN2/RPA4/CDC20/ZWINT/BCL2/NUF2/MAD2L1/GPR15LG/MIR29A/TPR/CDC14B/DCUN1D3/E2F8/E2F7/KLF4/RBM14/USP47/BIRC5/ATM/XPC/EZH2/DTL/SIRT1/NEK2/TRIM37/DLG1/KNTC1/KANK2/FBXO4/MAPK14/CRLF3/INCENP/TAOK1/AVEN/PCID2/BUB1B/CCNB1/KNL1/STK33/CDC45/AURKB/CDK2AP2/TIPIN/GPER1/EME1/MIR26A1/PTPN11/MDM1/ESPL1/RPL26/MBTPS1/MIR424/CLOCK/CDK2/ETAA1/RNASEH2B/BRD7/RFWD3/PARP9/ABRAXAS1/DMRT1/CRY1/WDR76/CTDSP2/RAD21/DUX4/PPP2R5C/NPM1/TRIP13/CENPF/CTDSP1/CDC73/RB1/TMSB4X/BRCA1/MACROH2A1/HLA-G/CCL2/UFL1/FBXO7/RBBP8/CDKN1B/CTDSPL/WAC/SOX2/CUL4A/BUB1/BABAM2/FAM107A/RGCC/FBXO5/ZFP36L2/DTX3L/PTEN/BARD1/NOP53/TP53/SKA1/TOM1L1/SMARCA5/NDC80/USP28/KAT2B/PROX1/CDK1/BRIP1/RBL1/ZFP36L1"
"GO:1901988","negative regulation of cell cycle phase transition",287,-0.447512391127277,-2.02612216801864,1e-10,5.68666666666667e-08,4.71695906432749e-08,7092,"tags=37%, list=19%, signal=30%","SKA3/RBL2/RAD17/PRKDC/INTS7/CHEK1/GTSE1/FANCD2/TTI1/FHL1/SPC25/TRIAP1/CDK5RAP2/BTN2A2/RAD1/NSUN2/RPA4/CDC20/ZWINT/BCL2/NUF2/MAD2L1/GPR15LG/MIR29A/TPR/CDC14B/DCUN1D3/E2F7/KLF4/USP47/BIRC5/ATM/XPC/EZH2/DTL/DLG1/KNTC1/KANK2/FBXO4/MAPK14/CRLF3/INCENP/TAOK1/AVEN/PCID2/BUB1B/CCNB1/KNL1/STK33/CDC45/AURKB/CDK2AP2/TIPIN/EME1/MIR26A1/PTPN11/RPL26/MBTPS1/CLOCK/CDK2/ETAA1/RNASEH2B/BRD7/RFWD3/PARP9/ABRAXAS1/CRY1/WDR76/CTDSP2/RAD21/PPP2R5C/TRIP13/CENPF/CTDSP1/CDC73/RB1/TMSB4X/BRCA1/MACROH2A1/CCL2/UFL1/FBXO7/RBBP8/CDKN1B/CTDSPL/WAC/SOX2/CUL4A/BUB1/BABAM2/FAM107A/RGCC/FBXO5/ZFP36L2/DTX3L/PTEN/BARD1/NOP53/TP53/SKA1/NDC80/USP28/PROX1/CDK1/BRIP1/RBL1/ZFP36L1"
"GO:0045930","negative regulation of mitotic cell cycle",256,-0.445587831708487,-1.99798307703548,1e-10,5.68666666666667e-08,4.71695906432749e-08,7092,"tags=38%, list=19%, signal=31%","SKA3/RBL2/RAD17/PRKDC/CHEK1/GTSE1/FANCD2/FHL1/SPC25/TRIAP1/CDK5RAP2/BTN2A2/ANGEL2/CDC20/ZWINT/BCL2/NUF2/MAD2L1/MIR134/MIR29A/TPR/CDC14B/DCUN1D3/E2F7/KLF4/USP47/BIRC5/ATM/XPC/EZH2/DTL/DLG1/TNF/KNTC1/KANK2/CRLF3/INCENP/TAOK1/AVEN/PCID2/BUB1B/CCNB1/KNL1/STK33/AURKB/CDK2AP2/RBM46/FOXC1/TIPIN/EME1/FZD3/MIR26A1/RPL26/IL10/MBTPS1/SCRIB/CDK2/ETAA1/BRD7/RFWD3/GAS1/ABRAXAS1/CTDSP2/RAD21/PPP2R5C/TRIP13/CENPF/CTDSP1/BTG3/CDC73/RB1/BRCA1/CCL2/FBXO7/RBBP8/CDKN1B/CTDSPL/CTNNB1/WAC/BUB1/BABAM2/FAM107A/RGCC/FBXO5/ZFP36L2/PTEN/BARD1/NOP53/TP53/SKA1/TOM1L1/NDC80/PTPN3/CDK1/RBL1/ZFP36L1"
"GO:0022613","ribonucleoprotein complex biogenesis",486,-0.421521081071949,-1.9977554530844,1e-10,5.68666666666667e-08,4.71695906432749e-08,7989,"tags=40%, list=21%, signal=32%","DHX37/DIS3/EIF3J/RPL27/EXOSC9/NOC4L/RPF2/RPS19/NPM3/PRKRA/TAF12-DT/WDR77/NCBP1/MALSU1/PAK1IP1/EXOSC6/GEMIN4/TRMT112/REXO4/CUL4B/CELF2/RRP7BP/RPL10L/RPSA/DDX52/PRKDC/NOPCHAP1/RRP1B/ZNF593/DCAF13/RPS7/NOM1/NOL6/DDX17/SRSF6/MRTO4/RPS14/WDR3/SF3B1/RPL35/SNRPD3/MRM1/EXOSC2/PRPF3/WDR36/DKC1/CINP/NUP88/DDX47/EIF3I/C1QBP/NOP2/RPP38/RNVU1-3/ERI2/DDX3X/UTP6/RNVU1-19/GCFC2/RPL38/AK6/RNVU1-8/BYSL/HEATR1/SDAD1/EIF3F/DIMT1/RPL35A/ATM/MRPS7/LSM2/DENR/NSA2/LUC7L/RUVBL1/RRP7A/DDX20/ERI1/PTGES3/METTL5/USP16/SHQ1/RPS12/NOP14/RNU5D-1/UTP25/RSL24D1/RPS27A/ZCCHC4/NIP7/EIF5/LOC102724159/AFG2A/SF3B3/DDX18/SF3A1/MTERF3/DDX21/RBMX2/LOC100128988/MPV17L2/NOL8/UTP18/WEE2-AS1/NOB1/RPS4X/TENT4B/NSUN4/EXOSC7/USP39/EIF3M/RPS5/WDR12/EFL1/EIF2S3/RPL26/RBFA/RPL7A/EIF3A/TSR1/RPL13A/FASTKD2/RPL7/RPS6/METTL18/AIRIM/UTP23/EIF2S3B/UTP20/CRNKL1/RAN/RPF1/SETX/NOL10/URB1/RPS16/RPS27/RPL11/PWP2/SNRNP200/LYAR/GNL3L/RPS15A/NPM1/GAR1/SNRPE/FCF1/UTP15/RPS3A/EIF3D/DDX54/RPL5/GEMIN5/RPS23/RPS17/METTL16/MAK16/RPS11/KRR1/URB2/TMA16/KRI1/RPS15/RPS8/ESF1/FBL/LSM6/EIF3E/NOA1/ZNF658/RBIS/PSIP1/LSG1/MTREX/U2AF2/CUL4A/RPS24/RPS25/EIF2A/EIF3L/RPS13/DDX10/EIF3H/RIOX2/NOP53/CLNS1A/NAF1/RPSA2/EIF2D/RPS9/KAT2B/GLUL"
"GO:0045786","negative regulation of cell cycle",419,-0.420421736176678,-1.97198490040001,1e-10,5.68666666666667e-08,4.71695906432749e-08,4928,"tags=30%, list=13%, signal=26%","GPR15LG/MIR134/MIR29A/TPR/CDC14B/DCUN1D3/E2F8/ADCYAP1/E2F7/KLF4/RBM14/USP47/BIRC5/ATM/XPC/EZH2/DTL/SIRT1/TENT5B/NEK2/TRIM37/MCIDAS/DLG1/TNF/HOXD10/KNTC1/KANK2/FBXO4/MAPK14/CRLF3/INCENP/TAOK1/AVEN/PCID2/BUB1B/NUDT6/CCNB1/KNL1/STK33/CDC45/AURKB/CDK2AP2/RBM46/FOXC1/TIPIN/GPER1/EME1/LATS1/FZD3/MIR26A1/PTPN11/MDM1/ESPL1/RPL26/IL10/MBTPS1/MIR424/CLOCK/SCRIB/CDK2/ETAA1/RNASEH2B/BRD7/RFWD3/TP53BP2/TNFAIP3/GAS1/PARP9/ABRAXAS1/DMRT1/CRY1/WDR76/CTDSP2/RAD21/DUX4/THAP5/PPP2R5C/NPM1/TRIP13/CENPF/CTDSP1/BTG3/CDC73/IPO7/RB1/TMSB4X/BRCA1/MACROH2A1/HLA-G/CCL2/UFL1/FBXO7/RBBP8/CDKN1B/CTDSPL/IPO5/CTNNB1/WAC/SOX2/CUL4A/BUB1/HOXC9/BABAM2/FAM107A/RGCC/FBXO5/ZFP36L2/DTX3L/PTEN/BARD1/NOP53/TP53/SKA1/TOM1L1/SMARCA5/NDC80/USP28/PTPN3/KAT2B/PROX1/CDK1/BRIP1/RBL1/ZFP36L1"
"GO:0007059","chromosome segregation",428,-0.38948583982793,-1.83178299248769,1e-10,5.68666666666667e-08,4.71695906432749e-08,7734,"tags=40%, list=21%, signal=32%","SMARCE1/RAD18/UBE2I/CDT1/C14orf39/CENPX/NUDC/POLDIP2/PRC1/TACC3/ANAPC4/PSMG2/SPAG5/ARHGEF10/SKA3/RHOA/CENPW/DCAF13/RNF4/STARD9/LOC100533997/C1orf146/TEX15/ASPM/RMDN1/FANCD2/SPC25/FAM83D/CENPN/NCAPH/ANAPC7/CHMP3/CDK5RAP2/KIF14/BOD1/NR3C1/DDX3X/CDC20/CENPK/RCC2/ZWINT/UBE2C/NUF2/CTCF/SENP6/MLH3/TENT4A/SYCE2/MAD2L1/RIPOR2/NUP62/SMC5/NIPBL/TPR/HAUS8/ABRAXAS2/PUM1/BIRC5/ATM/SEH1L/TOP2B/SGO2/HAUS3/OIP5/CENPQ/KIF15/NEK6/SIRT1/NEK2/TEX12/KNTC1/INO80/HNRNPU/TPX2/PHF10/HECW2/CLASP1/MKI67/CSNK2A2/FMN2/INCENP/ARID2/PCID2/TERB1/BUB1B/NDC1/CCNB1/KNL1/CIAO2A/KIF2C/AURKB/KIF4B/UVRAG/RPS3/CCNB2/M1AP/CDC16/LATS1/DLGAP5/HAUS1/CUL3/KIF4A/CCDC69/LSM14A/ESPL1/TOP2A/ACTL6A/HAUS4/KIF18B/NUP43/CCNE2/CENPL/ANKRD53/RAN/BRD7/TLK1/ABRAXAS1/MND1/RAD21/CENPM/KIFC1/SMC6/MYBL2/FIRRM/USP9X/TRIP13/KPNB1/UHRF1/CENPF/KIF23/GPSM2/MAP10/RB1/PPP1CC/BRCA1/DPF3/PSRC1/TOP1/ESCO2/DMC1/NCAPG/SLC25A5/PUM2/MAGEA5P/BUB1/STAG2/ITGB3BP/PHF13/MEIKIN/FBXO5/NUSAP1/HAUS6/PTEN/CENPH/SKA1/CENPE/SMARCA5/NDC80/SMC4/SUN1/PTTG1/NUP37/NCAPG2/ECT2/KAT2B/CDK1/NCOR1/KIF11/BRIP1/STIL/CDCA2"
"GO:1901987","regulation of cell cycle phase transition",479,-0.36936205179146,-1.74762000306939,1e-10,5.68666666666667e-08,4.71695906432749e-08,7835,"tags=37%, list=21%, signal=29%","KCNH5/PBX1/MRNIP/CDC25C/SMARCE1/MIR29C/CDT1/INTS3/PKP3/SLFN11/PLK3/CUL4B/ANAPC4/PSMG2/TMOD3/RRM2B/PLCG2/SKA3/RBL2/RAD17/PRKDC/INTS7/CHEK1/STXBP4/GTSE1/MNAT1/FANCD2/TTI1/FHL1/SIN3A/SPC25/FAM83D/ANAPC7/TRIAP1/CDK5RAP2/KIF14/BTN2A2/CCNH/RAD1/NSUN2/RPA4/DDX3X/CDC20/RCC2/ZWINT/BCL2/UBE2C/NUF2/MAD2L1/GPR15LG/MIR222/MIR29A/CRNN/MIR495/SIX3/TPR/CDC14B/DCUN1D3/E2F7/KLF4/USP47/BIRC5/ATM/XPC/EZH2/PTENP1-AS/NEK6/CDK18/DTL/DLG1/KNTC1/INO80/KANK2/RAD51B/PHF10/FBXO4/MAPK14/HECW2/CRLF3/INCENP/ARID2/TAOK1/AVEN/PCID2/BUB1B/CCNB1/KNL1/STK33/CDC45/AURKB/CDK14/CDK2AP2/DBF4/NEUROG1/CDC14C/MIR221/TIPIN/RRM2/EME1/CDC16/DLGAP5/MIR26A1/CUL3/PTPN11/ESPL1/RPL26/STOX1/ACTL6A/MBTPS1/CDK4/CLOCK/CCNE2/CDK2/ETAA1/TP63/RNASEH2B/BRD7/RFWD3/PARP9/USP50/ABRAXAS1/CRY1/WDR76/APPL1/PLRG1/CTDSP2/RAD21/PPP2R5C/NPM1/TRIP13/PSME1/RDX/CENPF/CTDSP1/CDC73/APPL2/DDR2/TCF3/RB1/TMSB4X/BRCA1/MACROH2A1/DPF3/CCL2/UFL1/FBXO7/RBBP8/CDKN1B/CTDSPL/TMEM14B/WAC/SOX2/CUL4A/BUB1/BABAM2/FAM107A/ANLN/RGCC/CDC25B/FBXO5/ZFP36L2/DTX3L/PTEN/BARD1/NOP53/TP53/SKA1/CENPE/NDC80/USP28/PROX1/CDK1/BRIP1/STIL/RBL1/ZFP36L1"
"GO:0006417","regulation of translation",458,-0.37601385484634,-1.77687995063737,1.23278520312933e-10,6.30939466961589e-08,5.2334976044427e-08,4896,"tags=26%, list=13%, signal=23%","MIR132/MIR134/MIR20A/MIR29A/MIR31/MIR96/PIWIL3/DAZ3/DAZ2/DAZ4/MIR495/TPR/THBS1/PUM1/PAIP2/DAPK1/METTL5/PABPC1/TENT5B/USP16/UPF3A/SERP1/ABCE1/TNF/RIDA/PTCD3/EEF2K/HNRNPU/EIF2AK1/MIRLET7I/ZCCHC4/EIF5/LIMD1/MIR26B/MPV17L2/RACK1/RPS3/MIR221/BTG2/RPS4X/MIR135B/GSPT1/CNOT1/LSM14A/MIR877/METTL3/IL6/RPL26/WT1/RPL13A/FASTKD2/CNOT10/PURB/ACO1/PURA/SCRIB/GTDC1/METTL18/ZNF385A/MIR27A/DAZL/FXR1/EIF4EBP3/MIR101-1/LRPPRC/MIR92A1/MIR1271/HNRNPD/SSB/CALR/EIF2S1/FMR1/PUS7/TRIM2/EIF4A2/NPM1/NCBP2/KLHL25/EIF3D/RPL5/GEMIN5/KRT17/MSI2/EIF4B/RPL10/PTK2B/UQCC2/SYNCRIP/EIF3E/UHMK1/CNOT6/MTIF2/CNBP/ENC1/PUM2/YBX3/NCK1/HBS1L/DNAJC3/SHMT1/SEPSECS/UPF1/EIF2AK2/TOB1/EIF2A/LARP4/MIR9-1/ETF1/QKI/SAMD4B/EIF3H/SERBP1/IGFBP5/IMPACT/NCL/GUF1/RPS9/TYMS/ZFP36L1/CYFIP1"
