"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022626","cytosolic ribosome",114,-0.664151110169361,-2.68607555568502,1e-10,1.186e-08,9.55789473684211e-09,4597,"tags=69%, list=12%, signal=61%","ASCC3/RPL21/RPL8/RPL36/RPL10L/RPSA/RPS7/RPS20/RPS14/RPL35/DDX3X/GCN1/RPL38/RPS4Y2/RPL28/RPL35A/RPL41/RPLP1/RPS12/ABCE1/RPL13/RPS27A/RPL15/RPL34/RPL19/RPL6/RACK1/RPS3/RPL17/RPS4X/RPL23/RPS5/GSPT1/RPL29/RPL26/RPL7A/RPL13A/RPL10A/RPL7/RPS6/RPL3/RPL31/RPL37/RPS16/RPS27/RPL11/RPL4/RPLP0/RPS15A/RPS3A/RPL5/RPS23/RPS17/RPL39/RPL36A/RPL27A/RPS11/RPL18A/RPL10/RPL30/RPS26/RPS15/RPLP2/RPL32/EEF1A1/RPS8/RPL23A/RPS4Y1/HBS1L/RPS24/RPS2/RPS25/EIF2A/LARP4/ETF1/RPS13/RPL22/RPSA2/RPS9"
"GO:0022625","cytosolic large ribosomal subunit",54,-0.721490805141645,-2.57085001545437,1e-10,1.186e-08,9.55789473684211e-09,4597,"tags=74%, list=12%, signal=65%","RPL21/RPL8/RPL36/RPL10L/RPL35/RPL38/RPL28/RPL35A/RPL41/RPLP1/RPL13/RPL15/RPL34/RPL19/RPL6/RPL17/RPL23/RPL29/RPL26/RPL7A/RPL13A/RPL10A/RPL7/RPL3/RPL31/RPL37/RPL11/RPL4/RPLP0/RPL5/RPL39/RPL36A/RPL27A/RPL18A/RPL10/RPL30/RPLP2/RPL32/RPL23A/RPL22"
"GO:0044391","ribosomal subunit",182,-0.555151962798594,-2.38285857615137,1e-10,1.186e-08,9.55789473684211e-09,7290,"tags=54%, list=19%, signal=44%","RPS19/MRPS22/MRPL58/MRPL13/RPL21/MRPL9/RPL8/MRPS14/MRPS28/RPL36/RPL10L/RPSA/RPS7/RPS20/MRPL27/MRPS25/RPS14/RPL35/MRPL11/MRPL3/DDX3X/MRPL36/RPL38/RPS4Y2/RPL28/RPL35A/MRPS7/MRPS6/DAP3/RPL41/RPLP1/RPS12/PTCD3/MRPL45/RPL13/RPS27A/RPL15/RPL34/RPL19/MRPL15/MPV17L2/RPL6/RACK1/RPS3/RPL17/RPS4X/NSUN4/RPL23/RPS5/RPL29/RPL26/RPL7A/RPL13A/RPL10A/RPL7/RPS6/RPL3/RPL31/MRPL19/RPL37/RPS16/RPS27/RPL11/RPL4/RPLP0/RPS15A/RPS3A/RPL5/RPS23/RPS17/RPL39/RPL36A/RPL27A/RPS11/RPL18A/RPL10/RPL30/RPS26/RPS15/RPLP2/RPL32/RPS8/RPL23A/MRPL47/RPS4Y1/MRPS30/RPS24/RPS2/RPS25/EIF2A/LARP4/RPS13/RPL22/MRPL39/MRPL24/RPSA2/RPS9/MRPL16"
"GO:0005840","ribosome",241,-0.501055124554458,-2.23180272688819,1e-10,1.186e-08,9.55789473684211e-09,4597,"tags=38%, list=12%, signal=33%","RPL28/RPL35A/FUBP3/MRPS7/MRPS6/DAP3/RPL41/RPLP1/SERP1/RPS12/ABCE1/PTCD3/MRPL45/RPL13/RSL24D1/RPS27A/RPL15/RPL34/RPL19/MRPL15/MPV17L2/RPL6/RACK1/RPS3/RPL17/RPS4X/NSUN4/RPL23/RPS5/GSPT1/RPL29/RPL26/NR0B1/RPL7A/RPL13A/RPL10A/RPL7/RPS6/RPL3/DAZL/RPL31/MRPL19/FXR1/RPL37/RPS16/RPS27/RPL11/CALR/RPL4/RPLP0/RPS15A/RPS3A/RPL5/PNPT1/RPS23/RPS17/RPL39/RPL36A/RPL27A/RPS11/RPL18A/RPL10/RPL30/NUFIP2/RPS26/RPS15/RPLP2/RPL32/EEF1A1/RPS8/RPL23A/MRPL47/RPS4Y1/NCK1/MRPS30/HBS1L/RPS24/RPS2/RPS25/EIF2AK2/EIF2A/LARP4/ETF1/RPS13/RPL22/MRPL39/MRPL24/RPSA2/RPS9/RPL22L1/MRPL16"
"GO:0098687","chromosomal region",403,-0.406420618943922,-1.90207221253899,1e-10,1.186e-08,9.55789473684211e-09,4729,"tags=27%, list=13%, signal=24%","TPR/HNRNPA2B1/BIRC5/ATM/SEH1L/TEP1/SGO2/CEBPB/EZH2/CKAP5/OIP5/ALYREF/CENPQ/MCM5/PTGES3/PDS5A/NEK2/PARP1/RBBP4/DCTN6/KNTC1/POLR2B/HNRNPU/PHF10/CLASP1/RAD51AP1/SEPTIN2/INCENP/ARID2/TNKS2/TERB1/BUB1B/CCNB1/KNL1/KIF2C/AURKB/MIS18BP1/UVRAG/HELLS/ERCC4/NUP98/CBX3/ATF7/TOP2A/ACTL6A/POT1/BAZ1A/PURA/NUP43/CENPL/NUP160/CDK2/SETX/BRD7/AHCTF1/RAD21/CENPM/PDS5B/SSB/SLF2/FMR1/PPP2R5C/CENPA/SMC6/GAR1/PPP2CB/FIRRM/HAT1/ORC5/NSMCE4A/CENPF/ANAPC16/PHF6/CDC73/PPP1CB/RPA1/PPP2R5A/PPP1CC/MACROH2A1/SMCHD1/SYCP3/ESCO2/DMC1/NCAPG/FBXO28/H4C2/RIF1/BUB1/STAG2/UPF1/ORC2/ITGB3BP/MEIKIN/CENPH/NLRP2/SKA1/CSNK1A1/CENPE/SMARCA5/NDC80/SMC4/RBBP7/SUN1/CENPV/NUP37/IKZF1/KAT2B/CDK1/DSCC1/RASSF2"
"GO:0000775","chromosome, centromeric region",261,-0.425286123525071,-1.90734603003879,1.42666772576431e-09,1.41002326896373e-07,1.1363283289421e-07,7314,"tags=38%, list=19%, signal=31%","SPAG5/CENPB/GPATCH11/H4C3/SKA3/KMT5B/CENPW/PSEN1/NUP133/H2AC8/UHRF2/SIN3A/SPC25/CENPN/CHMP3/BOD1/KAT7/CDC20/CENPK/RCC2/ZWINT/NUF2/CTCF/MAD2L1/SMC5/TPR/BIRC5/SEH1L/SGO2/CEBPB/EZH2/CKAP5/OIP5/CENPQ/PDS5A/NEK2/DCTN6/KNTC1/HNRNPU/PHF10/CLASP1/SEPTIN2/INCENP/ARID2/BUB1B/CCNB1/KNL1/KIF2C/AURKB/MIS18BP1/UVRAG/HELLS/NUP98/CBX3/TOP2A/ACTL6A/BAZ1A/NUP43/CENPL/NUP160/BRD7/AHCTF1/RAD21/CENPM/PDS5B/FMR1/PPP2R5C/CENPA/SMC6/PPP2CB/FIRRM/CENPF/ANAPC16/PHF6/PPP2R5A/PPP1CC/MACROH2A1/SYCP3/ESCO2/NCAPG/FBXO28/H4C2/BUB1/STAG2/ORC2/ITGB3BP/MEIKIN/CENPH/SKA1/CSNK1A1/CENPE/SMARCA5/NDC80/SMC4/CENPV/NUP37/IKZF1/KAT2B/DSCC1/RASSF2"
"GO:0022627","cytosolic small ribosomal subunit",41,-0.752087741413857,-2.52331893729563,2.24622950324842e-09,1.90287727918045e-07,1.53351608191697e-07,4083,"tags=78%, list=11%, signal=70%","RPSA/RPS7/RPS20/RPS14/DDX3X/RPS4Y2/RPS12/RPS27A/RACK1/RPS3/RPS4X/RPS5/RPS6/RPS16/RPS27/RPS15A/RPS3A/RPS23/RPS17/RPS11/RPS26/RPS15/RPS8/RPS4Y1/RPS24/RPS2/RPS25/EIF2A/LARP4/RPS13/RPSA2/RPS9"
"GO:0032040","small-subunit processome",74,-0.607154666682539,-2.29076839284422,1.46274310594481e-08,8.02636908725764e-07,6.46839720531636e-07,7028,"tags=53%, list=19%, signal=43%","PRKDC/DCAF13/RPS7/NOL6/RPS14/WDR3/WDR36/UTP6/HEATR1/DIMT1/RRP7A/RPS12/NOP14/UTP25/RPS27A/LOC102724159/UTP18/RPS4X/RPS5/RPS6/UTP23/UTP20/NOL10/RPS16/RPS27/PWP2/RPS15A/FCF1/UTP15/RPS3A/RPS23/RPS17/RPS11/KRR1/RPS8/FBL/RPS24/RPS13/RPS9"
"GO:0015934","large ribosomal subunit",111,-0.546509784925435,-2.20194968212662,1.17170156218003e-08,8.02636908725764e-07,6.46839720531636e-07,8132,"tags=54%, list=22%, signal=43%","MRPL14/MRPL43/RPL27/MRPL58/MRPL13/RPL21/MRPL9/RPL8/RPL36/RPL10L/MRPL27/RPL35/MRPL11/MRPL3/MRPL36/RPL38/RPL28/RPL35A/RPL41/RPLP1/MRPL45/RPL13/RPL15/RPL34/RPL19/MRPL15/MPV17L2/RPL6/RPL17/NSUN4/RPL23/RPL29/RPL26/RPL7A/RPL13A/RPL10A/RPL7/RPL3/RPL31/MRPL19/RPL37/RPL11/RPL4/RPLP0/RPL5/RPL39/RPL36A/RPL27A/RPL18A/RPL10/RPL30/RPLP2/RPL32/RPL23A/MRPL47/MRPS30/RPL22/MRPL39/MRPL24/MRPL16"
"GO:0030055","cell-substrate junction",434,-0.356195646967644,-1.68128196829852,1.25604445411217e-08,8.02636908725764e-07,6.46839720531636e-07,3898,"tags=23%, list=10%, signal=21%","EZR/NRAP/RAB10/NUMB/CLASP1/TLE2/COL17A1/LIMD1/RPL19/PARVB/BSG/RPL6/AHNAK/LIMA1/RPS3/FBLN7/DOCK7/RPS4X/CD9/NHS/RPL23/RPS5/GJA1/ARL14EP/RPL7A/PDIA3/CAV1/HYOU1/RPL13A/RPL10A/RPL7/SCARB2/G3BP1/EFS/SDCBP/TWF1/MAPK1/RPL3/RPL31/RPS16/CDH13/CALR/RPL4/TEK/HSPA5/RPLP0/MME/NPM1/ITGB5/CD46/RPS3A/RPL5/ITGB8/RPS17/DAG1/RDX/RPS11/KIF23/RPL30/ACTN3/IQGAP1/CNN3/PPP1CB/DDR2/RPS15/RPLP2/PTK2B/PPP1CC/RPS8/DCAF6/SORBS1/TRIP6/PCBP2/EPB41L5/CD99/HSP90B1/NCKAP1/CTNNB1/PTPN12/SPRY4/EFNB2/CBL/ERBIN/RPS2/FAM107A/REXO2/ITGB4/YES1/RPS13/RPL22/NEDD9/PDCD6IP/HNRNPK/TM4SF20/IRF2/LAP3/RPS9/CD44/VIM/ARHGAP31/CYFIP1"
