"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","structural constituent of ribosome",171,-0.53126840563208,-2.2690596230078,1e-10,9.51e-08,8.22105263157895e-08,4597,"tags=51%, list=12%, signal=45%","RPL21/MRPL9/RPL8/MRPS14/RPL36/RPL10L/RPSA/RPS7/RPS20/MRPL27/MRPS25/RPS14/RPL35/MRPL11/MRPL3/MRPL36/RPL38/RPS4Y2/RPL28/RPL35A/MRPS7/MRPS6/DAP3/RPL41/RPLP1/RPS12/MRPL45/RPL13/RSL24D1/RPS27A/RPL15/RPL34/RPL19/MRPL15/RPL6/RPS3/RPL17/RPS4X/RPL23/RPS5/RPL29/RPL26/RPL7A/RPL13A/RPL10A/RPL7/RPS6/SRBD1/RPL3/RPL31/MRPL19/RPL37/RPS16/RPS27/RPL11/RPL4/RPLP0/RPS15A/RPS3A/RPL5/RPS23/RPS17/RPL39/RPL36A/RPL27A/RPS11/RPL18A/RPL10/RPL30/RPS26/RPS15/RPLP2/RPL32/RPS8/RPL23A/MRPL47/RPS4Y1/MRPS30/RPS24/RPS2/RPS25/RPS13/RPL22/MRPL24/RPSA2/RPS9/RPL22L1/MRPL16"
"GO:0045182","translation regulator activity",436,-0.367875656745445,-1.72942377041974,4.55394148729069e-10,2.16539917720672e-07,1.87190963240738e-07,4896,"tags=22%, list=13%, signal=20%","MIR132/MIR134/MIR147A/MIR196A1/MIR20A/MIR217/MIR222/MIR29A/MIR301A/MIR30B/MIR30E/MIR31/MIR96/DAZ3/DAZ2/DAZ4/MIR495/MIR497/MIR505/MIR548C/MIR552/MIR655/MIR302D/EIF3F/PAIP2/DENR/PTENP1-AS/PABPC1/EEF2K/EIF1AY/MIR548D1/MIRLET7I/MIR564/EIF5/MIR26B/RACK1/MIR338/MIR221/MIR215/MIR135B/EIF3M/MIR26A1/GSPT1/MIR302B/EFL1/EIF2S3/MIR877/EIF3A/MIR374B/MIR424/PURB/ACO1/PURA/MIR935/EIF2S3B/GFM1/MIR27A/MIR302A/EIF4A1/DAZL/FXR1/EIF4EBP3/MIR101-1/MIR185/MIR92A1/MIR30A/MIR1298/MIR551A/MIR562/MIR326/MIR1271/EIF2S1/FMR1/TRIM2/EIF4A2/EIF3D/EIF4B/RPL10/EEF1A1/EEF1B2/EIF3E/MTIF2/CNBP/HBS1L/SHMT1/EIF2A/MIR9-1/MIR193B/ETF1/EIF3L/SAMD4B/EIF3H/EEF1D/SERBP1/EIF2D/RPS9/TYMS/CYFIP1"
"GO:0140297","DNA-binding transcription factor binding",487,-0.332694108282778,-1.58033948897527,1.86519081951611e-07,5.91265489786607e-05,5.11127729839327e-05,4808,"tags=25%, list=13%, signal=22%","TBXT/SETD6/HMGB2/NFYB/PTPRT/KLF4/XPC/VDR/MED14/TBX3/PSMD10/TAF4/TTC8/SMAD4/NKX3-1/NFE4/LMO2/DDX20/NEK6/CGGBP1/SIRT1/TXLNG/PARP1/GTF2H1/ANKRD2/MAPK14/SLC30A9/HDAC1/XBP1/VHL/STRN/DLL1/FOXC1/RPS3/ZNF516/EGR2/LATS1/PRKCB/CNOT1/GATA2/MAGEA2/NR0B1/ARNT2/MAGEA2B/PURB/PURA/YAP1/RNF6/AR/ZNF366/NAAA/DDX5/MED30/TP53BP2/MED1/PARP9/CREB1/BCL11A/CRY1/RAD21/PPARA/CALR/STK4/PPARGC1A/FAF1/LYAR/NR4A3/NFKBIA/TCF12/NPM1/PARP10/SRF/DDX54/METTL23/ZBTB7A/BBS10/SP1/CENPF/SP3/SRI/NFIA/PARK7/TRIB2/DHX33/SKI/MED17/TCF3/RB1/SOX9/CRKL/NUCKS1/DAZAP2/SOX8/BHLHE41/RBBP8/TRIP6/CITED2/PSIP1/HEY2/CTNNB1/TOB2/HOXA7/ATOH8/EEF1D/PRDM5/MED13/DTX3L/TP53/STAT3/ASCL1/GSC/NCAPG2/NFATC1/PITX2/KAT2B/PROX1/NCOR1/FOXL2/CRTC3/CHCHD2"
"GO:0019843","rRNA binding",64,-0.596940647584648,-2.18982101567508,3.523488204324e-07,6.87119018827438e-05,5.93989654883202e-05,5024,"tags=42%, list=13%, signal=37%","RPS4Y2/MRPS7/MRPS6/ERI1/PTCD3/UTP25/DDX21/RPS3/RPS4X/NSUN4/RPL23/RPS5/FASTKD2/UTP23/RPF1/RPL37/RPL11/RPLP0/NPM1/RPL5/RPS11/RPL23A/RPS4Y1/RPS13/NOP53/RPS9/MRPL16"
"GO:0090079","translation regulator activity, nucleic acid binding",108,-0.501189272853298,-2.01013380331984,4.18082891401041e-07,6.87119018827438e-05,5.93989654883202e-05,5012,"tags=37%, list=13%, signal=32%","DAZ1/DAZ3/DAZ2/DAZ4/EIF3F/PAIP2/DENR/PABPC1/EEF2K/EIF1AY/EIF5/EIF3M/GSPT1/EFL1/EIF2S3/EIF3A/PURB/ACO1/PURA/EIF2S3B/GFM1/EIF4A1/DAZL/EIF2S1/EIF4A2/EIF3D/EIF4B/EEF1A1/EEF1B2/EIF3E/MTIF2/HBS1L/SHMT1/EIF2A/ETF1/EIF3L/EIF3H/EEF1D/EIF2D/TYMS"
"GO:0001217","DNA-binding transcription repressor activity",278,-0.382016253605825,-1.72894920939957,4.3351357654728e-07,6.87119018827438e-05,5.93989654883202e-05,4642,"tags=27%, list=12%, signal=24%","ZBTB26/E2F8/E2F7/ENO1/AEBP1/CEBPB/TBX3/NR2E1/PATZ1/KCNIP3/NR1D1/NKX6-1/ZBED6/SMAD5/ZFP90/NFATC3/TCFL5/ZNF217/POU4F2/INSM1/NKX6-2/ATF7/PURB/MSC/PURA/ZBTB1/ZBTB20/PAX6/NKX3-2/ERF/RORC/BCL11A/ZEB2/EN1/PPARA/TGIF2/HESX1/TGIF1/NFATC4/HOXA2/HSF5/ZBTB7A/MSX1/SP3/SKI/NR1D2/PPARD/TCF3/POU6F1/ZBTB33/ZBTB16/TFAP2C/BHLHE41/ZBTB18/ZNF536/HEY2/SOX6/HDGF/SP5/GLIS3/PRDM5/ZNF219/TP53/ASCL1/ZEB1/GSC/TRPS1/ZBTB4/FEZF1/PITX2/NFKB1/SALL1/PROX1/JDP2/TBX15"
"GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific",268,-0.384848028004855,-1.73179655240832,6.64663912035169e-07,9.02993400493493e-05,7.80605286164611e-05,4642,"tags=27%, list=12%, signal=24%","ZBTB26/E2F8/E2F7/ENO1/AEBP1/CEBPB/TBX3/NR2E1/PATZ1/KCNIP3/NR1D1/NKX6-1/ZBED6/SMAD5/ZFP90/NFATC3/TCFL5/ZNF217/POU4F2/INSM1/NKX6-2/ATF7/PURB/MSC/PURA/ZBTB1/ZBTB20/PAX6/NKX3-2/ERF/RORC/BCL11A/ZEB2/EN1/PPARA/TGIF2/HESX1/TGIF1/NFATC4/HOXA2/ZBTB7A/MSX1/SP3/SKI/NR1D2/PPARD/TCF3/POU6F1/ZBTB33/ZBTB16/TFAP2C/BHLHE41/ZBTB18/ZNF536/HEY2/HDGF/SP5/GLIS3/PRDM5/ZNF219/TP53/ASCL1/ZEB1/GSC/TRPS1/ZBTB4/FEZF1/PITX2/NFKB1/SALL1/PROX1/JDP2/TBX15"
"GO:0004386","helicase activity",153,-0.448952206052786,-1.8882146051437,7.95873245762218e-07,9.46094320899836e-05,8.17864480184595e-05,8296,"tags=44%, list=22%, signal=34%","CHTF8/DHX9/DDX39B/DDX12P/AQR/TWNK/MCM2/RAD50/RECQL/MCM6/DHX37/DDX6/MCM4/SLFN11/ASCC3/DDX52/MCM7/DDX17/RIGI/SMARCA1/POLQ/DDX47/HELB/DDX3X/CHD9/CHD1L/CHD6/DDX50/RUVBL1/DDX20/MCM5/TTF2/DDX55/DDX18/DDX21/HELLS/SHPRH/DHX40/CHD1/MCM9/G3BP1/DHX15/HELQ/SETX/EIF4A1/DDX5/FBH1/IFIH1/TDRD9/DDX3Y/SNRNP200/EIF4A2/RAD54B/DDX54/DHX33/ZNFX1/NAV2/MTREX/BTAF1/UPF1/RFC3/DDX10/SMARCA5/DDX60L/DDX60/DSCC1/BRIP1"
"GO:0004984","olfactory receptor activity",402,0.39584497656624,1.61820709699649,1.06125946104716e-06,0.000112139749717316,9.69407765003311e-05,8838,"tags=16%, list=23%, signal=13%","OR10AD1/OR5K2/OR3A2/OR13C9/OR1C1/OR51E2/OR51B4/OR6B1/OR13D1/OR11H7/OR13F1/OR10A5/OR2S2/OR3A3/OR2A2/OR8D4/OR56A4/OR13C5/OR2B11/OR2L2/OR2W3/OR4F16/OR14A2/OR1F2P/OR7D2/OR52D1/OR51I1/OR51E1/OR2A4/OR3A1/OR52N2/OR10J3/OR5B12/OR56B4/OR51Q1/OR52B4/OR52K1/OR4F3/OR2A42/OR4F29/OR52E2/OR51F2/OR4D2/OR1I1/OR9A4/OR8K5/OR8K3/OR5M3/OR10Q1/OR2M4/OR4D1/OR6S1/OR2A12/OR52N5/OR56A5/OR5M1/OR6X1/OR4F6/OR51T1/OR5K3/OR1D4/OR11H2/OR52N1/OR6J1/OR1D5/OR1G1"
"GO:0043021","ribonucleoprotein complex binding",173,-0.422499501448841,-1.80429082007244,1.5276855069044e-06,0.000145282891706609,0.000125591829567615,7555,"tags=38%, list=20%, signal=30%","MALSU1/CPEB2/GEMIN4/MTOR/RPSA/NOPCHAP1/ZNF593/DNAJC2/MAIP1/ITCH/DDX17/SNRPD3/UNG/CINP/YTHDF3/C1QBP/DDX3X/MRRF/SNRPN/TOP2B/EZH2/CKAP5/ERI1/RPLP1/SRP72/USP16/ABCE1/PTCD3/HNRNPU/RNF135/AFG2A/CCDC47/RACK1/WDR12/EFL1/G3BP1/DDX5/FXR1/IFIH1/SECISBP2L/EIF2S1/FMR1/HSPA5/MTRES1/NPM1/GEMIN5/NAA15/SNRPA/PHF6/DHX33/TMA16/SLFN12/XPO5/PRMT3/UHMK1/MTIF2/SLFN14/TMEM147/YBX3/EIF2A/ETF1/SERBP1/IMPACT/PITX2/GUF1"
