"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.567022319968584,-2.46300173680315,1e-10,1.66666666666667e-09,1.05263157894737e-09,7453,"tags=46%, list=20%, signal=37%","MCM4/TACC3/SPAG5/NUP205/PRKDC/CHEK1/NASP/SRSF2/MCM7/RFC1/CSE1L/SPC25/UNG/ING3/PAN2/POLE4/RAD1/CDC20/H2AZ1/CTCF/MAD2L1/HMGB2/PPP1R8/E2F8/BIRC5/EZH2/MMS22L/MCM5/TFRC/EED/MKI67/RAD51AP1/BUB1B/CKS1B/KIF2C/AURKB/ASF1B/HELLS/CCNB2/TIPIN/RRM2/DLGAP5/GSPT1/POLD3/KIF4A/LMNB1/ESPL1/TOP2A/CDK4/KIF18B/GINS4/RAN/PPM1D/AK2/RAD21/CENPM/PDS5B/HNRNPD/EIF2S1/LYAR/SMC6/MYBL2/TRIP13/ANP32E/IPO7/RPA1/ASF1A/BRCA1/PAICS/DEPDC1/SYNCRIP/CDKN1B/PSIP1/TMPO/SHMT1/ATAD2/ORC2/CDC25B/RFC3/USP1/BARD1/TP53/CENPE/GINS1/SMC4/RBBP7/PTTG1/DEK/CDK1/DSCC1/MELK"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",200,-0.558025797522189,-2.42392311567958,1e-10,1.66666666666667e-09,1.05263157894737e-09,8035,"tags=47%, list=21%, signal=37%","TRAIP/MCM6/NUP50/DMD/GINS2/HMGA1/PLK4/PRC1/TACC3/SLC38A1/CCNA2/MEIS2/CHEK1/NASP/SRSF2/MNAT1/SS18/TROAP/DKC1/POLQ/CDC20/H2AZ1/UBE2C/CTCF/TENT4A/MAD2L1/RBM14/BIRC5/EZH2/KIF15/MCM5/NEK2/MT2A/HNRNPU/TPX2/MAPK14/MKI67/ODC1/INCENP/CKS1B/KNL1/KIF2C/CDC45/AURKB/DBF4/CCNB2/NUP98/GSPT1/CUL3/KIF4A/PBK/LMNB1/ESPL1/TOP2A/CDK4/EXO1/PURA/G3BP1/KIF5B/CUL5/RAD21/PDS5B/HNRNPD/CENPA/MYBL2/ORC5/KPNB1/CENPF/KIF23/CUL1/SYNCRIP/TOP1/CDKN1B/TMPO/CUL4A/BUB1/UPF1/CDC25B/FBXO5/NUSAP1/BARD1/EGF/CENPE/NDC80/SMC4/PTTG1/NCL/CDK1/KIF11/STIL/KATNA1/RBL1/SAP30/KIF20B"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.532405538786441,-2.31263518301585,1e-10,1.66666666666667e-09,1.05263157894737e-09,4651,"tags=50%, list=12%, signal=45%","PSMA1/SMARCC1/CSTF2/EIF2S2/MCM2/PSMC6/MCM6/EIF3J/NAP1L1/EIF4G2/CAD/NCBP1/HDDC2/VBP1/MCM4/CCT7/MRPL9/CCNA2/SRSF2/MCM7/GLO1/IMPDH2/HNRNPC/SNRPD3/C1QBP/CDC20/KARS1/H2AZ1/MAD2L1/XPOT/HNRNPA2B1/SET/LSM2/CANX/CCT3/YWHAE/MCM5/PTGES3/PABPC1/ABCE1/PSMD14/HNRNPU/ODC1/RPL34/SF3B3/CDC45/DDX18/SF3A1/DDX21/RPL6/RACK1/RPS3/EXOSC7/PRDX3/RPS5/GSPT1/CBX3/CDK4/SRSF7/RPS6/CCT4/G3BP1/CDK2/DHX15/RAN/EIF4A1/RSL1D1/HNRNPA1/HNRNPD/SSB/EIF2S1/RPLP0/NPM1/NCBP2/EIF3D/KPNB1/SNRPA/CCT5/HSPD1/STARD7/FBL/CUL1/SYNCRIP/SLC25A3/EEF1B2/UBA2/CNBP/HSPE1/HDGF/RPS2/ORC2/ETF1/AIMP2/SERBP1/RPL22/USP1/CLNS1A/FAM120A/DEK/TYMS/SRSF3"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,-0.535420232502797,-2.10849162860682,7.86321597728096e-08,9.8290199716012e-07,6.20780208732707e-07,3994,"tags=36%, list=11%, signal=32%","PSMB8/IFITM2/CASP1/UBA7/CD74/IFI35/IFI44L/GMPR/GBP4/LPAR6/PSMA3/CXCL11/USP18/IFIH1/PARP9/PSMB9/PNPT1/PSME1/SP110/TRIM5/IFITM3/IFI44/TMEM140/TRIM14/PARP14/CSF1/CMTR1/PARP12/EIF2AK2/CXCL10/IRF2/LAP3/DDX60/NMI/TRIM25"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",200,-0.421638751857231,-1.83149223858668,2.33704301951446e-07,2.33704301951446e-06,1.47602717021966e-06,4574,"tags=32%, list=12%, signal=28%","CASP8/ISOC1/SERPING1/BTG1/IFIT1/XAF1/SAMHD1/PSMB8/MT2A/IFITM2/CASP1/CD69/FAS/APOL6/CD74/IFI35/IFI44L/CASP7/IL6/GBP4/OAS3/PSMA3/CXCL11/USP18/TNFAIP3/IFIH1/PSMB9/TNFAIP2/NFKBIA/C1R/PNPT1/PSME1/HLA-B/SP110/IFITM3/SRI/IFI44/TRIM14/PARP14/HLA-G/ZNFX1/HLA-A/CCL2/SOD2/ST3GAL5/CMTR1/NOD1/PARP12/EIF2AK2/CXCL10/SPPL2A/VCAM1/TNFAIP6/STAT3/SSPN/TNFSF10/IRF2/LAP3/NFKB1/NAMPT/DDX60/NMI/TRIM25"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",200,-0.415831990727751,-1.806269134939,4.64583268878515e-07,3.87152724065429e-06,2.4451750993606e-06,4580,"tags=29%, list=12%, signal=26%","EGR3/KLF4/CEBPB/F3/BTG1/TNF/CLCF1/TIPARP/CD69/SPHK1/BTG2/FOSL1/KLF9/EGR2/RCAN1/NFAT5/PLEK/IL6/PNRC1/REL/LITAF/B4GALT5/MSC/CXCL11/CEBPD/CD83/TNFAIP3/PHLDA1/IFIH1/BIRC2/TNFAIP2/NR4A3/NFKBIA/NFKB2/TGIF1/IFNGR2/IRS2/BTG3/IER5/IL18/BIRC3/FJX1/CSF1/TRIP10/CCL2/SOD2/KLF6/RELB/MCL1/CXCL10/PLPP3/TNFAIP6/PTX3/FOSL2/NFKB1/NAMPT/CD44/DENND5A"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",199,-0.401599665657328,-1.74202225247602,5.40588461315728e-06,3.8613461522552e-05,2.43874493826644e-05,4742,"tags=29%, list=13%, signal=25%","ABI1/NET1/DOCK2/BIRC5/CKAP5/YWHAE/PREX1/KIF15/NEK2/DLG1/KNTC1/ROCK1/SEPTIN9/TPX2/EZR/CLASP1/INCENP/RANBP9/LLGL1/KIF2C/CCNB2/LATS1/DLGAP5/KIF4A/TUBD1/LMNB1/ESPL1/ITSN1/TOP2A/TBCD/KIF5B/LRPPRC/TLK1/ARHGEF12/CENPF/KIF23/UXT/WASF2/MYH10/TIAM1/ARHGAP5/NCK1/WASL/BUB1/ANLN/FBXO5/NUSAP1/NEDD9/CENPE/NDC80/SMC4/ARHGAP29/ECT2/CDK1/KIF11/KATNA1/KIF20B"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",113,-0.423350851221472,-1.70710630271372,0.000178918227842774,0.00111823892401734,0.000706256162537266,7999,"tags=45%, list=21%, signal=36%","CEBPG/EXOSC9/YIF1A/HSPA9/DCP2/GEMIN4/ATF6/ATF4/SLC30A5/SKIC3/RPS14/CNOT2/EXOSC2/DKC1/ALDH18A1/DDIT4/SDAD1/XPOT/NFYB/CEBPB/SLC1A4/KDELR3/BANF1/IFIT1/SERP1/NOP14/EXOC2/CNOT4/XBP1/CKS1B/IGFBP1/SPCS1/SSR1/HYOU1/PDIA6/KIF5B/EIF4A1/CALR/EIF2S1/HSPA5/EIF4A2/NPM1/PSAT1/TARS1/CCL2/CNOT6/PDIA5/HSP90B1/MTREX/DNAJC3/DDX10"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,-0.511942619842292,-1.84068917410326,0.00021901103415075,0.00121672796750417,0.000768459768950001,9360,"tags=41%, list=25%, signal=31%","DUSP2/PES1/WDR43/TCOF1/NOC4L/PLK4/MCM4/MRTO4/UNG/NOP2/BYSL/MCM5/NIP7/DDX18/CBX3/CDK4/UTP20/HK2/NPM1/HSPD1/PRMT3/HSPE1/SLC19A1/AIMP2"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",161,-0.36571101495566,-1.54804003242084,0.000593040562702274,0.00296520281351137,0.00187275967169139,4701,"tags=27%, list=12%, signal=24%","HMGB2/EGR3/CASP8/DAP3/CASP6/TNF/ROCK1/CASP1/CD69/CTH/FAS/BTG2/CASP7/IL6/TOP2A/CAV1/DFFA/PPT1/CDK2/EREG/H1-0/IFITM3/GPX3/BTG3/IL18/BIRC3/BRCA1/PEA15/SOD2/CDKN1B/CTNNB1/MCL1/DNAJC3/EMP1/CDC25B/ETF1/LGALS3/TGFBR3/BNIP3L/NEDD9/CLU/TNFSF10/SOD1/CD44"
