"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05171","Coronavirus disease - COVID-19",234,-0.533181297415163,-2.36293603138132,1e-10,1.73e-08,1.41052631578947e-08,5024,"tags=43%, list=13%, signal=37%","140032/3439/3441/3442/3447/5291/6158/6165/6171/4314/6176/6206/7124/6137/100526842/51187/57506/1432/720/6233/6138/727/721/6164/834/6143/3592/6128/23118/6188/6139/6191/5335/9349/6193/6159/5579/3569/6154/4940/6130/23521/4736/6129/6194/29110/5594/6122/6160/64135/6167/732/6217/6232/6135/7187/6124/4792/730/6175/6210/715/6189/6125/2212/6228/6218/6170/6173/59272/6157/6205/6142/6134/6156/6231/3454/3551/6209/6181/6161/100529097/6202/6147/6347/5648/6192/6229/6187/6230/5578/5610/3627/6207/6146/6774/388524/4790/6203/200916"
"hsa03010","Ribosome",204,-0.492243069720686,-2.15296033525697,1e-10,1.73e-08,1.41052631578947e-08,4597,"tags=36%, list=12%, signal=32%","6158/6165/51081/64968/7818/6171/6176/6206/84311/6137/100526842/51187/6233/6138/6164/6143/29088/6128/10399/6188/6139/6191/9349/6193/6159/6154/6130/23521/4736/6129/6194/6122/6160/9801/6167/6217/6232/6135/6124/6175/6210/6189/6125/6228/6218/6170/6173/6157/6205/6142/6134/6156/6231/6209/6181/6161/100529097/6202/6147/57129/6192/10884/6229/6187/6230/6207/6146/54148/79590/388524/6203/200916/54948"
"hsa04740","Olfactory transduction",434,0.42579875324363,1.75040283499511,2.14092480012076e-09,2.46919993613928e-07,2.01322051379777e-07,9161,"tags=20%, list=24%, signal=15%","5566/121275/5593/5592/5997/402135/4995/6547/286362/26188/5567/6546/123041/81285/408/79339/135946/286365/390441/138805/144124/56656/8392/442361/338662/120793/138799/808/127623/57101/26246/343171/818/81399/388761/51764/817/162998/390066/390063/143503/79541/3000/4994/390077/390191/196335/816/5138/390061/143496/157/409/390036/26683/402317/729759/119678/119694/124538/126370/130075/219453/219473/219482/219960/26245/26689/341799/346525/390075/390084/390168/390260/390648/401665/403277/653166/79334/79473/79549/810/8386/8390/2782/390059"
"hsa04721","Synaptic vesicle cycle",78,0.604829764082436,2.05783924014761,3.33759494967031e-07,2.88701963146482e-05,2.35388275397801e-05,6267,"tags=53%, list=17%, signal=44%","526/523/6809/9114/533/9296/527/1175/1212/246213/50617/9550/6804/51606/1173/6534/26052/6540/5864/535/22999/1759/8218/10814/6505/528/4905/6531/534/6616/773/112755/6844/774/6572/23025/6857/57030/6812/1211/6539"
"hsa04218","Cellular senescence",157,-0.402780865278306,-1.71175097975425,3.67783457739539e-05,0.00254506152755761,0.00207507298261466,4635,"tags=25%, list=12%, signal=22%","5291/472/23411/5928/1432/4893/3133/891/4775/22808/9133/204851/3569/1019/9134/10000/1017/1875/5594/10114/4605/4776/3106/5500/5925/5501/3135/54822/3105/292/678/5728/7157/3709/4772/4790/983/5933/677"
"hsa00640","Propanoate metabolism",32,-0.64146868451588,-2.04511750469095,7.54256425767893e-05,0.0028996969257299,0.00236421897199761,6506,"tags=53%, list=17%, signal=44%","18/3948/55862/4594/1629/1962/51/5095/1892/1738/5096/8801/84532/3030/3945/594/4329"
"hsa00670","One carbon pool by folate",38,-0.61506014459176,-2.0362089165916,6.67549528986681e-05,0.0028996969257299,0.00236421897199761,4482,"tags=42%, list=12%, signal=37%","10588/200895/1491/10768/501/2618/23382/1738/4144/2731/6470/2653/10840/55349/4522/7298"
"hsa03013","Nucleocytoplasmic transport",108,-0.450795821059089,-1.81674654069117,5.52555148958655e-05,0.0028996969257299,0.00236421897199761,9190,"tags=49%, list=24%, signal=37%","129401/7514/9972/7919/57187/9688/2733/51068/9984/10250/10762/7329/4686/4116/23165/26019/55746/10284/1434/4927/23636/7175/11260/6613/81929/55705/10189/65110/3842/55706/4928/348995/55916/23279/3839/5901/55161/25909/3840/8021/22916/3837/64328/10527/9631/1915/57510/51194/3843/5976/10526/79023/53371"
"hsa04110","Cell cycle",158,-0.385660205117318,-1.63577413700655,7.40613104668469e-05,0.0028996969257299,0.00236421897199761,4706,"tags=28%, list=12%, signal=25%","8555/472/7531/4089/4174/23244/701/3065/891/57082/8318/9212/10926/168448/9133/8881/9700/7029/1019/9134/1017/1875/5885/23047/5527/5516/5001/9319/119504/5525/5925/8454/1027/157570/699/10735/4999/994/26271/6502/7157/10403/9232/983/5933"
"hsa04913","Ovarian steroidogenesis",52,0.57927666786893,1.83973231336306,9.92367527236773e-05,0.00343359164423924,0.00279952102420479,4114,"tags=29%, list=11%, signal=26%","3479/3643/5566/1543/3972/113/1583/5567/111/2778/3292/3480/1545/114/196883"
"hsa00280","Valine, leucine and isoleucine degradation",48,-0.566714769419786,-1.96729917548766,0.000142903175518152,0.00449495442993459,0.003664885266877,4521,"tags=40%, list=12%, signal=35%","4594/1629/3033/217/3155/1962/3032/501/5095/1892/1738/5096/11112/223/56922/3030/594/64087/4329"
