"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-72689","Formation of a pool of free 40S subunits",102,-0.737902527961862,-2.93117343671197,1e-10,5.12692307692308e-09,4.27125506072875e-09,4599,"tags=63%, list=12%, signal=55%","8665/6158/6165/6171/6176/6206/6137/6233/6138/6164/6143/6128/6188/6139/6191/9349/10480/6193/6159/6154/6130/8661/23521/4736/6129/6194/6122/6160/6167/6217/6232/6135/6124/6175/6210/6189/8664/6125/6228/6218/6170/6173/6157/6205/6142/6134/6156/6231/6209/6181/6161/6202/6147/3646/6192/6229/6187/6230/51386/6207/8667/6146/6203/200916"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",113,-0.721471388454789,-2.91851781929869,1e-10,5.12692307692308e-09,4.27125506072875e-09,4599,"tags=62%, list=12%, signal=55%","8665/6158/6165/6171/6176/6206/6137/6233/6138/1983/6164/6143/6128/6188/6139/6191/9349/10480/6193/6159/1968/6154/6130/8661/23521/4736/6129/6194/1973/6122/6160/6167/6217/6232/6135/6124/1965/6175/6210/1974/6189/8664/6125/6228/6218/6170/6173/6157/6205/6142/1975/6134/6156/6231/6209/6181/6161/6202/6147/3646/6192/6229/6187/6230/51386/6207/8667/6146/6203/200916"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression",112,-0.72168383327409,-2.91588791818527,1e-10,5.12692307692308e-09,4.27125506072875e-09,4599,"tags=62%, list=12%, signal=55%","8665/6158/6165/6171/6176/26986/6206/6137/6233/6138/6164/6143/6128/6188/6139/6191/9349/10480/6193/6159/1968/6154/6130/8661/23521/4736/6129/6194/1973/6122/6160/6167/6217/6232/6135/6124/1965/6175/6210/1974/6189/8664/6125/6228/6218/6170/6173/6157/6205/6142/1975/6134/6156/6231/6209/6181/6161/6202/6147/3646/6192/6229/6187/6230/51386/6207/8667/6146/6203/200916"
"R-HSA-72613","Eukaryotic Translation Initiation",120,-0.712294030074777,-2.90365414393842,1e-10,5.12692307692308e-09,4.27125506072875e-09,4599,"tags=59%, list=12%, signal=52%","8665/6158/6165/6171/6176/26986/6206/6137/6233/6138/1983/6164/6143/6128/6188/6139/6191/9349/10480/6193/6159/1968/6154/6130/8661/23521/4736/6129/6194/1973/6122/6160/6167/6217/6232/6135/6124/1965/6175/6210/1974/6189/8664/6125/6228/6218/6170/6173/6157/6205/6142/1975/6134/6156/6231/6209/6181/6161/6202/6147/3646/6192/6229/6187/6230/51386/6207/8667/6146/6203/200916"
"R-HSA-72737","Cap-dependent Translation Initiation",120,-0.712294030074777,-2.90365414393842,1e-10,5.12692307692308e-09,4.27125506072875e-09,4599,"tags=59%, list=12%, signal=52%","8665/6158/6165/6171/6176/26986/6206/6137/6233/6138/1983/6164/6143/6128/6188/6139/6191/9349/10480/6193/6159/1968/6154/6130/8661/23521/4736/6129/6194/1973/6122/6160/6167/6217/6232/6135/6124/1965/6175/6210/1974/6189/8664/6125/6228/6218/6170/6173/6157/6205/6142/1975/6134/6156/6231/6209/6181/6161/6202/6147/3646/6192/6229/6187/6230/51386/6207/8667/6146/6203/200916"
"R-HSA-192823","Viral mRNA Translation",90,-0.741287314801699,-2.89790749716057,1e-10,5.12692307692308e-09,4.27125506072875e-09,4597,"tags=77%, list=12%, signal=67%","6144/6132/25873/140801/3921/6201/6224/6208/11224/6169/140032/6158/6165/6171/6176/6206/6137/6233/6138/6164/6143/6128/6188/6139/6191/9349/6193/6159/6154/6130/23521/4736/6129/6194/6122/6160/6167/6217/6232/6135/6124/6175/6210/6189/6125/6228/6218/6170/6173/6157/6205/6142/6134/6156/6231/6209/6181/6161/6202/6147/6192/5611/6229/6187/6230/6207/6146/6203/200916"
"R-HSA-156902","Peptide chain elongation",90,-0.738585160860135,-2.88734399228279,1e-10,5.12692307692308e-09,4.27125506072875e-09,4597,"tags=77%, list=12%, signal=67%","6144/6132/25873/140801/3921/6201/6224/6208/11224/6169/140032/6158/6165/6171/6176/6206/6137/6233/6138/6164/6143/6128/6188/6139/6191/9349/6193/6159/6154/6130/23521/4736/6129/6194/6122/6160/6167/6217/6232/6135/6124/6175/6210/6189/6125/6228/6218/6170/6173/6157/6205/6142/6134/6156/6231/6209/6181/6161/1915/6202/6147/6192/6229/6187/6230/6207/6146/6203/200916"
"R-HSA-156842","Eukaryotic Translation Elongation",94,-0.730291333779931,-2.86464960136957,1e-10,5.12692307692308e-09,4.27125506072875e-09,4597,"tags=64%, list=12%, signal=56%","6158/6165/6171/6176/6206/6137/6233/6138/6164/6143/6128/6188/6139/6191/9349/6193/6159/6154/6130/23521/4736/6129/6194/6122/6160/6167/6217/6232/6135/6124/6175/6210/6189/6125/6228/6218/6170/6173/6157/6205/6142/6134/6156/6231/6209/6181/6161/1915/6202/6147/1933/6192/6229/6187/6230/6207/1936/6146/6203/200916"
"R-HSA-72764","Eukaryotic Translation Termination",94,-0.730165369865293,-2.86415549379748,1e-10,5.12692307692308e-09,4.27125506072875e-09,7400,"tags=78%, list=20%, signal=63%","51504/6144/6132/25873/140801/3921/6201/6224/6208/11224/23708/6169/140032/6158/6165/6171/6176/6206/6137/6233/6138/6164/6143/29104/6128/6188/6139/6191/9349/6193/2935/6159/6154/6130/23521/4736/6129/6194/6122/6160/6167/6217/6232/6135/6124/6175/6210/6189/6125/6228/6218/6170/6173/6157/6205/6142/6134/6156/6231/6209/6181/6161/6202/6147/6192/6229/6187/6230/2107/6207/6146/6203/200916"
"R-HSA-2408522","Selenoamino acid metabolism",119,-0.701774963628998,-2.86016492671036,1e-10,5.12692307692308e-09,4.27125506072875e-09,7294,"tags=66%, list=19%, signal=54%","9521/6144/6132/25873/140801/3921/6201/6224/6208/11224/3735/191/6169/140032/6158/6165/6171/6176/6206/6137/6233/6138/6164/1491/6143/6128/6188/6139/6191/9349/6193/6159/6154/6130/23521/9255/4736/6129/6194/1615/6122/6160/6167/6217/6232/6135/6124/6175/6210/6189/6125/6228/6218/6170/6173/6157/6205/6142/6134/6156/6231/6209/6181/6161/6202/6147/6192/11185/6229/4837/6187/6230/51091/6207/7965/6146/6203/51520/200916"
