"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",88,-0.729879903780673,-2.81574865134202,1e-10,6.59e-08,5.72631578947368e-08,4597,"tags=66%, list=12%, signal=58%","RPL28/RPL35A/RPL41/RPLP1/RPS12/RPL13/RPS27A/RPL15/RPL34/RPL19/RPL6/RPS3/RPL17/RPS4X/RPL23/RPS5/RPL29/RPL26/RPL7A/RPL13A/RPL10A/RPL7/RPS6/RPL3/RPL31/MRPL19/RPL37/RPS16/RPS27/RPL11/RPL4/RPLP0/RPS15A/RPS3A/RPS6KA6/RPL5/RPS23/RPS17/RPL39/RPL36A/RPL27A/RPS11/RPL18A/RPL10/RPL30/RPS26/RPS15/RPLP2/RPL32/RPS8/RPL23A/RPS4Y1/RPS24/RPS2/RPS25/RPS13/RPL22/RPS9"
"WP_RETINOBLASTOMA_GENE_IN_CANCER","WP_RETINOBLASTOMA_GENE_IN_CANCER",90,-0.54721549815256,-2.1200597971858,9.18092146405257e-08,3.02511362240532e-05,2.6286427770761e-05,4074,"tags=33%, list=11%, signal=30%","RBBP4/HDAC1/CCNB1/NPAT/CDC45/CCNB2/MIR29B2/RRM2/POLD3/KIF4A/TFDP2/TOP2A/CDK4/CCNE2/CDK2/FAF1/RPA1/RB1/CDKN1B/ANLN/CDC25B/RFC3/SKP2/BARD1/TP53/RBBP7/POLA1/CDK1/TYMS/SAP30"
"WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR","WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR",81,-0.549242737911694,-2.0949807010345,1.48756411075411e-06,0.00032676824966232,0.000283942061842189,9759,"tags=52%, list=26%, signal=39%","NBN/SMARCAL1/SMC1A/TDP1/RAD52/BRCA2/MDC1/MLH1/MCM2/RAD50/RECQL/CDC25C/EEF1E1/RAD17/PRKDC/CHEK1/FANCD2/FOXM1/RAD1/DCLRE1A/ATM/PARP1/MCPH1/FANCI/CDC45/PALB2/RMI1/EXO1/CDK2/PPM1D/RFWD3/ABRAXAS1/SP1/RPA1/BRCA1/RBBP8/UPF1/USP1/BARD1/TP53/CDK1/BRIP1"
"WP_CILIOPATHIES","WP_CILIOPATHIES",184,-0.397855795858937,-1.71770204479903,7.35795510512868e-06,0.00121222310356995,0.00105334936241842,8751,"tags=46%, list=23%, signal=36%","EFHC1/DNAAF2/OFD1/NEK1/BBS5/HYDIN/TMEM231/TBC1D32/SPATA7/CFAP52/ODAD4/PIBF1/TMEM67/CPLANE1/RSPH4A/PKHD1/CEP78/LZTFL1/PLK4/BBS12/AK7/WDR19/NME9/NPHP1/B9D1/RSPH1/DYNC2LI1/DNAAF11/DNAL1/RPGRIP1L/INVS/DNAAF1/CCNO/NEK9/IFT81/IFT57/DYNC2I2/BBS2/MAK/KATNIP/DNAAF4/CLUAP1/IFT80/KIAA0753/IQCB1/TTC8/GLI3/TTC21B/CILK1/CFAP298/SMO/NEK2/MCIDAS/PIK3R4/RSPH3/RP1/TTLL5/TCTN2/FLCN/SPAG1/TMEM237/POMGNT1/XPNPEP3/ANKS6/WDR35/DNAH11/SDCCAG8/TOPORS/TCTN3/DYNC2H1/CEP83/EVC2/C2CD3/RAB28/USP9X/BBS10/CENPF/TUB/CCDC103/PCARE/POC1B/LCA5/DNAAF5/ARL13B/GPR161"
"WP_TNFRELATED_WEAK_INDUCER_OF_APOPTOSIS_TWEAK_SIGNALING","WP_TNFRELATED_WEAK_INDUCER_OF_APOPTOSIS_TWEAK_SIGNALING",42,-0.618836867353017,-2.08271256600048,1.56428705898765e-05,0.00171940042035543,0.00149405611160986,4574,"tags=45%, list=12%, signal=40%","CASP8/TNF/MAPK14/HDAC1/CASP7/IL6/MAPK1/MAP3K14/BIRC2/TRAF3/NFKBIA/NFKB2/IKBKB/BIRC3/CCL2/RELB/CTNNB1/NFKB1/TNFSF12"
"WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA","WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA",74,-0.519548136107268,-1.9447574712899,1.56546320517945e-05,0.00171940042035543,0.00149405611160986,4679,"tags=39%, list=12%, signal=34%","DDIT4/PIK3CB/CASP8/SMAD4/NUMB/NRAS/FGFR2/CUL3/CDK4/REL/RPS6/AKT3/PRKAA2/IRF6/TP63/FKBP1A/BIRC2/TRAF3/NFKB2/NOTCH1/PRKAA1/GAB1/RB1/MAML1/CTNNB1/PTEN/TP53/NFKB1/FGFR1"
"WP_TRANSLATION_FACTORS","WP_TRANSLATION_FACTORS",50,-0.571486652288377,-1.99253870686575,5.69528547003197e-05,0.00469149140593884,0.00407662538907552,4599,"tags=42%, list=12%, signal=37%","EIF3F/PABPC1/EEF2K/EIF1AY/EIF2AK1/EIF5/EIF2S3/EIF3A/EIF4A1/EIF4EBP3/EIF2S1/EIF4A2/EIF3D/EIF4B/EEF1A1/EEF1B2/EIF3E/EIF2AK2/ETF1/EIF3H/EEF1D"
"WP_SYNAPTIC_VESICLE_PATHWAY","WP_SYNAPTIC_VESICLE_PATHWAY",51,0.607092625239488,1.92804740334813,5.64411910052785e-05,0.00469149140593884,0.00407662538907552,7240,"tags=59%, list=19%, signal=48%","STX3/CLN8/SLC22A3/AP2S1/SLC17A8/SYN1/STX1A/AP2M1/DNM3/RAB3A/SYP/RIMS1/DNM1/CLTCL1/CPLX2/SLC25A4/NSF/SNAP25/CACNA1A/STX1B/VAMP2/CACNA1B/SLC18A3/UNC13A/SYT1/SLC17A7/STXBP1/CLTA/AP2A1/NAPA"
"WP_PRADERWILLI_AND_ANGELMAN_SYNDROME","WP_PRADERWILLI_AND_ANGELMAN_SYNDROME",109,-0.442583916566062,-1.77807785049332,7.5969818867605e-05,0.00556267895930574,0.00483363525894469,8600,"tags=43%, list=23%, signal=33%","MDM4/NUP93/PWRN2/GLE1/OXT/CGA/PCM1/GABRR1/NUP50/HTR2C/NUP205/MKRN3/NUP133/OCA2/NUP88/SNURF/DLX5/NDN/KISS1/NUP62/FSHB/GHRH/TPR/SNRPN/SEH1L/NDC1/FEZ2/NUP98/CDK4/NUP43/NUP160/AHCTF1/GABRG1/FMR1/NUP214/MSX1/NUP155/RB1/POMC/TP53/SNORD109A/NUP37/SNORD64/TYR/NUP54/SNORD108/CYFIP1"
"WP_NETRINUNC5B_SIGNALING","WP_NETRINUNC5B_SIGNALING",52,-0.535592313556612,-1.88205917075926,0.000162264675894558,0.00891103511787617,0.00774315646374034,4368,"tags=35%, list=12%, signal=31%","DAPK1/TNF/MAPK14/PTPN11/IL10/YAP1/MAPK1/CDH5/ARHGEF12/PTK2B/RGMA/FYN/CCL2/ITGB4/PRKCA/VCAM1/TP53/CIP2A"
