gene_symbol,log2fc,pvalue,padj,diffexpressed,is_purinergic,purinergic_category,is_mitochondrial,mito_category,mito_complex,is_crosstalk,top_hallmark
CRLF1,1.5799610819617278,4.42174694309648e-6,4.42174694309648e-6,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105369401,0.2800751045569647,1.1819472181041549e-5,1.1819472181041549e-5,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZNF705D,0.03362386356589769,6.688616689479954e-5,6.688616689479954e-5,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PPIAP30,0.19374020873420425,6.756927609732384e-5,6.756927609732384e-5,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
IGF1,0.5988023367166424,1.480595494697721e-4,1.480595494697721e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105376311,0.2738795246384915,1.7560416646886465e-4,1.7560416646886465e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MELK,-0.6200295313313321,2.2546964404051735e-4,2.2546964404051735e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
HLX-AS1,0.6932896504008906,2.3881029252541296e-4,2.3881029252541296e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SCARA3,-0.5674080689725323,2.912958039949899e-4,2.912958039949899e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SLC22A17,0.2698443702179489,2.9432510045310104e-4,2.9432510045310104e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
COL22A1,-3.1758011610384886,3.3976365847126176e-4,3.3976365847126176e-4,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CHCHD2,-2.0403109406103015,3.934924585004067e-4,3.934924585004067e-4,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CDRT15P3,0.6368141079751065,4.102690382840026e-4,4.102690382840026e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
DHX8,0.1291935225098466,4.1186970340180873e-4,4.1186970340180873e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105377582,-0.06962312209704961,5.598541595834786e-4,5.598541595834786e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CRTC3,-0.26666142802560294,5.982934354498428e-4,5.982934354498428e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
IQCM,0.33072845352909314,6.922206230033108e-4,6.922206230033108e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RAC2,0.7332620576049846,9.41101669308504e-4,9.41101669308504e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01524,0.0950454725582276,0.0010010084510936,0.0010010084510936,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
TMCO4,-0.29611647816457276,0.00103421989943235,0.00103421989943235,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RAMAC,0.398560240853136,0.00132489841318733,0.00132489841318733,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC112268029,0.16927675818661136,0.00140444729890163,0.00140444729890163,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RASSF2,-1.243704351605811,0.0014153037156511,0.0014153037156511,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CDCA2,-0.44564720147477627,0.00144026485757739,0.00144026485757739,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
