gene_symbol,function_group,log2fc,pvalue,padj,sig,direction
ATP5F1A,ATP production,-0.08319913494270444,0.5559414392965043,0.5559414392965043,FALSE,ns
ATP5F1B,ATP production,0.01285448428962023,0.8453287783474065,0.8453287783474065,FALSE,ns
ATP5F1C,ATP production,0.00568771256359447,0.966648419279072,0.966648419279072,FALSE,ns
SLC25A4,ATP/ADP transport,0.20831723612472505,0.20257651119640344,0.20257651119640344,FALSE,ns
SLC25A5,ATP/ADP transport,-0.12893777429640413,0.08668816629427196,0.08668816629427196,FALSE,ns
SLC25A6,ATP/ADP transport,0.05221539874913467,0.7289980526430152,0.7289980526430152,FALSE,ns
VDAC1,ATP/ADP transport,-0.00645032389913385,0.9092546839580772,0.9092546839580772,FALSE,ns
VDAC2,ATP/ADP transport,0.06687657829382467,0.5147697498800508,0.5147697498800508,FALSE,ns
VDAC3,ATP/ADP transport,0.23377445832958416,0.3721820974085407,0.3721820974085407,FALSE,ns
PANX1,ATP release,0.4027792620465011,0.04872062552883136,0.04872062552883136,TRUE,up
PANX2,ATP release,0.4449126551337863,0.25438451041287224,0.25438451041287224,FALSE,ns
SLC17A9,ATP release,0.11837250926375764,0.6648347463442705,0.6648347463442705,FALSE,ns
CALHM1,ATP release,0.26564913729077044,0.2037114446974068,0.2037114446974068,FALSE,ns
ENTPD1,Extracellular ATP metabolism,-0.11717739486107125,0.5268849688255455,0.5268849688255455,FALSE,ns
NT5E,Extracellular ATP metabolism,-1.234663614818723,0.5121584998901115,0.5121584998901115,FALSE,ns
ADA,Extracellular ATP metabolism,0.27638581080413116,0.4948080397418901,0.4948080397418901,FALSE,ns
P2RX4,Purinergic receptors,-0.24415643505138793,0.2600844762563082,0.2600844762563082,FALSE,ns
P2RX7,Purinergic receptors,-0.3167459128282076,0.29852319854681914,0.29852319854681914,FALSE,ns
P2RY2,Purinergic receptors,0.05863403760313012,0.3957861681894596,0.3957861681894596,FALSE,ns
ADORA1,Purinergic receptors,0.3774791666369659,0.3174657907325532,0.3174657907325532,FALSE,ns
ADORA2A,Purinergic receptors,0.08474707521011736,0.47146714535198664,0.47146714535198664,FALSE,ns
NLRP3,Inflammasome/downstream,0.23035027554873325,0.318925762723791,0.318925762723791,FALSE,ns
CASP1,Inflammasome/downstream,-0.19636884991035897,0.2971011954579143,0.2971011954579143,FALSE,ns
IL1B,Inflammasome/downstream,-0.08277078398274017,0.7330527329565377,0.7330527329565377,FALSE,ns
TXNIP,Inflammasome/downstream,0.04694013210677889,0.8182257666106161,0.8182257666106161,FALSE,ns
SOD2,Mito ROS defense,-0.5609186611313921,0.09810189058444728,0.09810189058444728,FALSE,ns
GPX1,Mito ROS defense,0.05755210513379157,0.7347677381132708,0.7347677381132708,FALSE,ns
CAT,Mito ROS defense,-0.2573198793745942,0.4827380378005384,0.4827380378005384,FALSE,ns
