"gene_symbol","category","complex","log2fc","pvalue","padj","diffexpressed","sig","direction"
"NDUFA1","complex_I","Complex I",0.0792913586033046,0.420423137738431,0.420423137738431,"NS",FALSE,"NS"
"NDUFA2","complex_I","Complex I",0.0252836752935844,0.782142954257341,0.782142954257341,"NS",FALSE,"NS"
"NDUFA3","complex_I","Complex I",0.0586121601150444,0.67189438687627,0.67189438687627,"NS",FALSE,"NS"
"NDUFA4","complex_I","Complex I",0.133870693426511,0.131501123891076,0.131501123891076,"NS",FALSE,"NS"
"NDUFA5","complex_I","Complex I",-0.0262767944555712,0.854661424581696,0.854661424581696,"NS",FALSE,"NS"
"NDUFA6","complex_I","Complex I",-0.231804027513285,0.188220778899646,0.188220778899646,"NS",FALSE,"NS"
"NDUFA7","complex_I","Complex I",0.0512433869967427,0.705419250170878,0.705419250170878,"NS",FALSE,"NS"
"NDUFA8","complex_I","Complex I",-0.0115076796780812,0.88516172145725,0.88516172145725,"NS",FALSE,"NS"
"NDUFA9","complex_I","Complex I",0.0440159456057601,0.719090023813026,0.719090023813026,"NS",FALSE,"NS"
"NDUFA10","complex_I","Complex I",-0.0422154130860309,0.614135531654704,0.614135531654704,"NS",FALSE,"NS"
"NDUFA11","complex_I","Complex I",0.213426354470943,0.238083748897245,0.238083748897245,"NS",FALSE,"NS"
"NDUFA12","complex_I","Complex I",0.109802440899717,0.384489715045804,0.384489715045804,"NS",FALSE,"NS"
"NDUFA13","complex_I","Complex I",0.129241919791012,0.326598704343906,0.326598704343906,"NS",FALSE,"NS"
"NDUFAB1","complex_I","Complex I",0.087762214235239,0.391061173695261,0.391061173695261,"NS",FALSE,"NS"
"NDUFB1","complex_I","Complex I",0.106485126393313,0.637334781376833,0.637334781376833,"NS",FALSE,"NS"
"NDUFB2","complex_I","Complex I",0.00548350825014339,0.908041270315038,0.908041270315038,"NS",FALSE,"NS"
"NDUFB3","complex_I","Complex I",0.019812799140925,0.861059601774795,0.861059601774795,"NS",FALSE,"NS"
"NDUFB4","complex_I","Complex I",-0.0538661812261994,0.514472024635522,0.514472024635522,"NS",FALSE,"NS"
"NDUFB5","complex_I","Complex I",-0.0986639683272471,0.535530986619985,0.535530986619985,"NS",FALSE,"NS"
"NDUFB6","complex_I","Complex I",0.0459923434187914,0.373339658383369,0.373339658383369,"NS",FALSE,"NS"
"NDUFB7","complex_I","Complex I",0.121331251563823,0.230007432520568,0.230007432520568,"NS",FALSE,"NS"
"NDUFB8","complex_I","Complex I",0.127881019398562,0.264776755503143,0.264776755503143,"NS",FALSE,"NS"
"NDUFB9","complex_I","Complex I",0.0348137039552273,0.56365842021079,0.56365842021079,"NS",FALSE,"NS"
