gene_symbol,log2fc,pvalue,padj,diffexpressed,calcium_category,sig,direction
MCUR1,-0.22176104494086143,0.02214141195061746,0.02214141195061746,NS,calcium_transport,FALSE,NS
CACNA1S,-0.15157841237814815,0.03447389047924677,0.03447389047924677,NS,calcium_channels,FALSE,NS
TRPV2,0.7956146086500248,0.07071763045366321,0.07071763045366321,NS,calcium_channels,FALSE,NS
TRPV5,0.1145619311064492,0.10630042009909768,0.10630042009909768,NS,calcium_channels,FALSE,NS
CACNA1H,0.5459928448178447,0.10764710499254124,0.10764710499254124,NS,calcium_channels,FALSE,NS
TRPM7,-0.18219873402253897,0.11186990979308256,0.11186990979308256,NS,calcium_channels,FALSE,NS
SLC8A3,0.4321509808327792,0.11504854218295896,0.11504854218295896,NS,calcium_transport,FALSE,NS
CACNA1E,0.8343305692203266,0.11711838671361886,0.11711838671361886,NS,calcium_channels,FALSE,NS
TRPC2,-0.1992791584485049,0.1178117874752178,0.1178117874752178,NS,calcium_channels,FALSE,NS
MCUB,-0.5501501022442473,0.12351972287736648,0.12351972287736648,NS,calcium_transport,FALSE,NS
SLC8A1-AS1,0.6436779525550435,0.12505884439896547,0.12505884439896547,NS,calcium_transport,FALSE,NS
CACNG2,0.8521737426923005,0.13041252587520089,0.13041252587520089,NS,calcium_channels,FALSE,NS
CACNA1B-AS1,0.16435113265039664,0.14169961081223317,0.14169961081223317,NS,calcium_channels,FALSE,NS
ATP2A3,0.6214777904508926,0.14176663972242745,0.14176663972242745,NS,calcium_transport,FALSE,NS
CACNA1I,0.6884227265436782,0.1490628221948207,0.1490628221948207,NS,calcium_channels,FALSE,NS
SLC8A1,0.4298896482510527,0.15095121572221057,0.15095121572221057,NS,calcium_transport,FALSE,NS
CAMK1G,1.098248002971835,0.15573522158347877,0.15573522158347877,NS,calcium_binding,FALSE,NS
CACNA2D4,0.09630876004172312,0.18287131590146505,0.18287131590146505,NS,calcium_channels,FALSE,NS
S100A13,0.23214130622627244,0.18611056719072405,0.18611056719072405,NS,calcium_binding,FALSE,NS
CAMK2N2,0.77766074369083,0.1870009338179908,0.1870009338179908,NS,calcium_binding,FALSE,NS
CALM3,0.31957797926723736,0.1964658178494565,0.1964658178494565,NS,calcium_binding,FALSE,NS
CACNG7,0.3144499153343429,0.20080727864185344,0.20080727864185344,NS,calcium_channels,FALSE,NS
S100G,0.10593467853407589,0.20349361050049075,0.20349361050049075,NS,calcium_binding,FALSE,NS
S100A7,0.482364459649505,0.2055165157662261,0.2055165157662261,NS,calcium_binding,FALSE,NS
CACNA2D3-AS1,0.4112218850777935,0.2061014736322002,0.2061014736322002,NS,calcium_channels,FALSE,NS
TRPV3,0.24716501498230303,0.2111949609473817,0.2111949609473817,NS,calcium_channels,FALSE,NS
CAMK2G,0.24133510529437296,0.21499423444730317,0.21499423444730317,NS,calcium_binding,FALSE,NS
TRPV6,0.34154440597255464,0.21507680624759876,0.21507680624759876,NS,calcium_channels,FALSE,NS
ATP2B1-AS1,0.9865139464429368,0.22979797721885167,0.22979797721885167,NS,calcium_transport,FALSE,NS
CAMK2D,0.21586491330003496,0.2407347253270397,0.2407347253270397,NS,calcium_binding,FALSE,NS
CACNA1A,0.7192821162301074,0.24296522223932232,0.24296522223932232,NS,calcium_channels,FALSE,NS
CACNG5,-0.8281593067976957,0.2446760647405695,0.2446760647405695,NS,calcium_channels,FALSE,NS
TRPC4AP,0.23995044633834103,0.2532213938040378,0.2532213938040378,NS,calcium_channels,FALSE,NS
TRPM1,0.12383337734363642,0.25960585735157615,0.25960585735157615,NS,calcium_channels,FALSE,NS
ATP2C2-AS1,0.30043958422255673,0.26902410945924404,0.26902410945924404,NS,calcium_transport,FALSE,NS
CACNB1,0.6011953559120826,0.271533352380143,0.271533352380143,NS,calcium_channels,FALSE,NS
CACNA1B,0.5974817805081623,0.2729842719386982,0.2729842719386982,NS,calcium_channels,FALSE,NS
ATP2C1,0.20481381290603315,0.2753423877321252,0.2753423877321252,NS,calcium_transport,FALSE,NS
CAMK2N1,-0.295219402954009,0.27564300013581056,0.27564300013581056,NS,calcium_binding,FALSE,NS
ATP2B1,0.4632498923011994,0.277198967196668,0.277198967196668,NS,calcium_transport,FALSE,NS
CACNA2D2,0.5014798214250346,0.2780729852491113,0.2780729852491113,NS,calcium_channels,FALSE,NS
TRPM2,0.5889063023741946,0.2807658994619911,0.2807658994619911,NS,calcium_channels,FALSE,NS
TRPC1,0.08809026754713904,0.2841487928972976,0.2841487928972976,NS,calcium_channels,FALSE,NS
CAMK1,0.1769630230693271,0.2861888834952808,0.2861888834952808,NS,calcium_binding,FALSE,NS
S100Z,0.03131260712909825,0.3039681397844418,0.3039681397844418,NS,calcium_binding,FALSE,NS
CACNA1F,-0.09707961975247915,0.30622788136882273,0.30622788136882273,NS,calcium_channels,FALSE,NS
MICU3,0.1996114694873957,0.30839051212492163,0.30839051212492163,NS,calcium_transport,FALSE,NS
CAMK2B,0.6623719293888032,0.31937186088920866,0.31937186088920866,NS,calcium_binding,FALSE,NS
MICU1,0.12207331983615348,0.3244793526348299,0.3244793526348299,NS,calcium_transport,FALSE,NS
TRPC6,0.06313405391737932,0.32912601779677797,0.32912601779677797,NS,calcium_channels,FALSE,NS
