gene_symbol,category,log2fc,pvalue,padj,diffexpressed,sig,direction,measured
P2RX1,P2X_receptors,0.2579183915181492,0.2110658434218127,0.2110658434218127,NS,FALSE,NS,TRUE
P2RX2,P2X_receptors,1.1169034852324458,0.2927020699565742,0.2927020699565742,NS,FALSE,NS,TRUE
P2RX3,P2X_receptors,0.1040671483174286,0.88060858768635,0.88060858768635,NS,FALSE,NS,TRUE
P2RX4,P2X_receptors,-0.24415643505138793,0.2600844762563082,0.2600844762563082,NS,FALSE,NS,TRUE
P2RX5,P2X_receptors,0.7135783335034283,0.1678201841519152,0.1678201841519152,NS,FALSE,NS,TRUE
P2RX6,P2X_receptors,-0.10505843841244418,0.7195663785927253,0.7195663785927253,NS,FALSE,NS,TRUE
P2RX7,P2X_receptors,-0.3167459128282076,0.29852319854681914,0.29852319854681914,NS,FALSE,NS,TRUE
P2RY1,P2Y_receptors,-0.1566093636145701,0.6915321212751653,0.6915321212751653,NS,FALSE,NS,TRUE
P2RY2,P2Y_receptors,0.05863403760313012,0.3957861681894596,0.3957861681894596,NS,FALSE,NS,TRUE
P2RY4,P2Y_receptors,0.05892019675751128,0.660335245260935,0.660335245260935,NS,FALSE,NS,TRUE
P2RY6,P2Y_receptors,0.0969089882926557,0.2307048017234657,0.2307048017234657,NS,FALSE,NS,TRUE
P2RY8,P2Y_receptors,0.00902023581330954,0.2068549693344653,0.2068549693344653,NS,FALSE,NS,TRUE
P2RY10,P2Y_receptors,0,1,1,NS,FALSE,NS,TRUE
P2RY11,P2Y_receptors,0.07987768453798744,0.7048453058972568,0.7048453058972568,NS,FALSE,NS,TRUE
P2RY12,P2Y_receptors,0.12112194364423548,0.14871207286555052,0.14871207286555052,NS,FALSE,NS,TRUE
P2RY13,P2Y_receptors,-0.015804831489522,0.45948612097360386,0.45948612097360386,NS,FALSE,NS,TRUE
P2RY14,P2Y_receptors,0.03821976652246794,0.6396137596795057,0.6396137596795057,NS,FALSE,NS,TRUE
ADORA1,P1_receptors,0.3774791666369659,0.3174657907325532,0.3174657907325532,NS,FALSE,NS,TRUE
ADORA2A,P1_receptors,0.08474707521011736,0.47146714535198664,0.47146714535198664,NS,FALSE,NS,TRUE
ADORA2B,P1_receptors,-0.3949462978336545,0.05222657891975026,0.05222657891975026,NS,FALSE,NS,TRUE
ADORA3,P1_receptors,0.01592416691538127,0.5719009938352069,0.5719009938352069,NS,FALSE,NS,TRUE
ENTPD1,ectonucleotidases,-0.11717739486107125,0.5268849688255455,0.5268849688255455,NS,FALSE,NS,TRUE
ENTPD2,ectonucleotidases,0.19510762616659472,0.6493789888242987,0.6493789888242987,NS,FALSE,NS,TRUE
ENTPD3,ectonucleotidases,-0.6826781285194573,0.29021689210194346,0.29021689210194346,NS,FALSE,NS,TRUE
ENTPD4,ectonucleotidases,0.12340881707032963,0.3690961021419328,0.3690961021419328,NS,FALSE,NS,TRUE
ENTPD5,ectonucleotidases,-0.01505823661677961,0.8466537998695446,0.8466537998695446,NS,FALSE,NS,TRUE
ENTPD6,ectonucleotidases,0.24846646932092864,0.4527992973338742,0.4527992973338742,NS,FALSE,NS,TRUE
ENTPD7,ectonucleotidases,0.14243432428713032,0.33921161543334183,0.33921161543334183,NS,FALSE,NS,TRUE
ENTPD8,ectonucleotidases,-0.2591171898547272,0.5379335036010371,0.5379335036010371,NS,FALSE,NS,TRUE
NT5E,ectonucleotidases,-1.234663614818723,0.5121584998901115,0.5121584998901115,NS,FALSE,NS,TRUE
ENPP1,ectonucleotidases,0.19062107085795,0.6652713932049967,0.6652713932049967,NS,FALSE,NS,TRUE
ENPP2,ectonucleotidases,-0.08906365323879312,0.8548500022566732,0.8548500022566732,NS,FALSE,NS,TRUE
ENPP3,ectonucleotidases,0.01788007063027865,0.965354965248982,0.965354965248982,NS,FALSE,NS,TRUE
ENPP4,ectonucleotidases,0.22768563683734871,0.5476096078649441,0.5476096078649441,NS,FALSE,NS,TRUE
ENPP5,ectonucleotidases,-0.28378089642026383,0.19966238837906877,0.19966238837906877,NS,FALSE,NS,TRUE
ENPP6,ectonucleotidases,-0.3936275975900907,0.09537261727518626,0.09537261727518626,NS,FALSE,NS,TRUE
ENPP7,ectonucleotidases,0.02398272729098105,0.1824279395284066,0.1824279395284066,NS,FALSE,NS,TRUE
ADA,ectonucleotidases,0.27638581080413116,0.4948080397418901,0.4948080397418901,NS,FALSE,NS,TRUE
ADA2,ectonucleotidases,-0.6596621089204803,0.3554174352212561,0.3554174352212561,NS,FALSE,NS,TRUE
PNP,ectonucleotidases,0.16227715675449067,0.01210471595267509,0.01210471595267509,NS,FALSE,NS,TRUE
ALPL,ectonucleotidases,0.3272685701811637,0.5252437448949918,0.5252437448949918,NS,FALSE,NS,TRUE
TNAP,ectonucleotidases,NA,NA,NA,NA,NA,NS,FALSE
PANX1,atp_release,0.4027792620465011,0.04872062552883136,0.04872062552883136,NS,FALSE,NS,TRUE
PANX2,atp_release,0.4449126551337863,0.25438451041287224,0.25438451041287224,NS,FALSE,NS,TRUE
PANX3,atp_release,-0.3113560648249378,0.42636515818626586,0.42636515818626586,NS,FALSE,NS,TRUE
GJA1,atp_release,-0.367180384739808,0.24951595256924625,0.24951595256924625,NS,FALSE,NS,TRUE
GJB1,atp_release,-0.0142802994540565,0.3910022189557703,0.3910022189557703,NS,FALSE,NS,TRUE
GJB2,atp_release,-1.150022072930377,0.15262542336915913,0.15262542336915913,NS,FALSE,NS,TRUE
GJC1,atp_release,-0.4994731303392055,0.07593194717383243,0.07593194717383243,NS,FALSE,NS,TRUE
SLC17A9,atp_release,0.11837250926375764,0.6648347463442705,0.6648347463442705,NS,FALSE,NS,TRUE
VDAC1,atp_release,-0.00645032389913385,0.9092546839580772,0.9092546839580772,NS,FALSE,NS,TRUE
VDAC2,atp_release,0.06687657829382467,0.5147697498800508,0.5147697498800508,NS,FALSE,NS,TRUE
VDAC3,atp_release,0.23377445832958416,0.3721820974085407,0.3721820974085407,NS,FALSE,NS,TRUE
CALHM1,atp_release,0.26564913729077044,0.2037114446974068,0.2037114446974068,NS,FALSE,NS,TRUE
CALHM2,atp_release,0.36741587053807745,0.2303482667341486,0.2303482667341486,NS,FALSE,NS,TRUE
NLRP3,downstream,0.23035027554873325,0.318925762723791,0.318925762723791,NS,FALSE,NS,TRUE
CASP1,downstream,-0.19636884991035897,0.2971011954579143,0.2971011954579143,NS,FALSE,NS,TRUE
IL1B,downstream,-0.08277078398274017,0.7330527329565377,0.7330527329565377,NS,FALSE,NS,TRUE
IL18,downstream,-0.916631741880629,0.1279614120410346,0.1279614120410346,NS,FALSE,NS,TRUE
PYCARD,downstream,-0.02238221784128567,0.9601875118258588,0.9601875118258588,NS,FALSE,NS,TRUE
HMGB1,downstream,-0.0525179533587401,0.7390259332212155,0.7390259332212155,NS,FALSE,NS,TRUE
NFKB1,downstream,-0.6061527254922476,0.0239376751732105,0.0239376751732105,NS,FALSE,NS,TRUE
NFKB2,downstream,-0.4813484127998752,0.17171522326256733,0.17171522326256733,NS,FALSE,NS,TRUE
RELA,downstream,-0.06511744337109324,0.6922923782360704,0.6922923782360704,NS,FALSE,NS,TRUE
TNF,downstream,-0.06629896229360818,0.332960185679517,0.332960185679517,NS,FALSE,NS,TRUE
IL6,downstream,-0.09676406940049552,0.2413149269826058,0.2413149269826058,NS,FALSE,NS,TRUE
CXCL8,downstream,0.12107088019817684,0.7901863844315727,0.7901863844315727,NS,FALSE,NS,TRUE
ADK,adenosine_metabolism,0.03296172500378948,0.8813548909569029,0.8813548909569029,NS,FALSE,NS,TRUE
ATIC,adenosine_metabolism,-0.04274442185403367,0.75450323018439,0.75450323018439,NS,FALSE,NS,TRUE
AMPD1,adenosine_metabolism,-0.01380524992681485,0.3910022189557706,0.3910022189557706,NS,FALSE,NS,TRUE
AMPD2,adenosine_metabolism,0.10072433289584724,0.5065469931931715,0.5065469931931715,NS,FALSE,NS,TRUE
AMPD3,adenosine_metabolism,0.12128935946440728,0.620904740782579,0.620904740782579,NS,FALSE,NS,TRUE
SLC28A1,adenosine_metabolism,0.11589747027850648,0.07344617914846438,0.07344617914846438,NS,FALSE,NS,TRUE
SLC28A2,adenosine_metabolism,0.10107718152764186,0.28821911277660434,0.28821911277660434,NS,FALSE,NS,TRUE
SLC28A3,adenosine_metabolism,0.05928651406065998,0.808182359408862,0.808182359408862,NS,FALSE,NS,TRUE
SLC29A1,adenosine_metabolism,0.30852186746949156,0.2936450870153707,0.2936450870153707,NS,FALSE,NS,TRUE
SLC29A2,adenosine_metabolism,0.03745348893625425,0.8928261372268537,0.8928261372268537,NS,FALSE,NS,TRUE
SLC29A3,adenosine_metabolism,0.1843992986560991,0.2718287611809406,0.2718287611809406,NS,FALSE,NS,TRUE
SLC29A4,adenosine_metabolism,0.08578494569683373,0.7410292140036068,0.7410292140036068,NS,FALSE,NS,TRUE
