"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002181","cytoplasmic translation",163,-0.49193241044866,-2.0623398975768,3.16193119868427e-09,1.61827638748661e-05,1.33400213098174e-05,8321,"tags=45%, list=22%, signal=36%","RPS4X/RPS23/FAU/RPL28/DHX29/RPL7A/IMPACT/DRG2/RPS27/RPLP1/RPL29/RPL23/YBX3/RPS27A/RPL39/RPS21/RPL4/RPL36A/RPL13A/EIF2B1/EIF3I/RPS13/EIF2B2/RPL34/PKM/RPL32/RPS19/RPL31/RPL30/EIF3A/RPS15/EIF4A1/RPS12/RACK1/EIF3B/RPL5/EIF3F/RPLP2/SYNCRIP/EIF2S3B/ETF1/RPL3/RPL27A/RPS2/RPL18A/RPLP0/METTL3/EIF3L/RPS3A/RPS16/EIF3M/RPL6/RPS24/EIF4A2/MTOR/EIF3D/RPS8/PABPC1/EIF2S3/RPL10/RPL7/RPS9/ZNF385A/EIF2D/EEF1D/RPS6/NCK1/RPS26/EIF3E/EIF3H/MIF4GD/NCBP2/RPL22L1/CNBP"
"GO:0042254","ribosome biogenesis",314,-0.398745967085135,-1.79019474915208,6.421426554499e-09,1.64324305529629e-05,1.35458303318063e-05,9203,"tags=43%, list=24%, signal=33%","HEATR3/NSA2/RPUSD1/RPS14/RPS25/HEATR1/DDX27/RRP9/WDR55/ISG20/PAK1IP1/DIS3/DDX31/RPUSD4/WDR18/EFL1/RPS4X/RPS23/ZNF593/FAU/DHX29/NAT10/AIRIM/GNL2/RPL7A/USP36/RPF2/CDKN2A/DDX18/PPAN/C1QBP/ZCCHC4/RSL24D1/DDX56/EXOSC2/RPS27/RPS19BP1/RRP36/SLX9/PRKDC/UTP20/RRP7BP/TRMT112/CINP/WDR43/RPS27A/RPL10L/WDR3/TFB2M/RCC1L/WDR75/DKC1/NOP14/RPS21/RRS1/MYBBP1A/TBL3/LTO1/NOL10/RRP7A/DCAF13/DDX54/UTP6/RPS13/MRPS7/RPS19/UTP18/FBL/RPS15/MALSU1/NOP2/DDX47/PES1/RPS12/NSUN4/ZNF658/MAK16/RPL5/EIF4A3/UTP14A/NOL8/NOL6/DDX21/KAT2B/RPSA2/LSG1/RBFA/DDX17/RRP1B/EXOSC1/DDX52/PWP2/EIF2A/RPS3A/NAF1/EXOSC4/NOB1/NPM3/RPS16/DDX51/NOA1/SIRT7/NOM1/NPM1/GAR1/RPS24/GLUL/UTP15/NOC4L/GNL3L/RBIS/RPP38/ERI1/RPS8/MRM1/GEMIN4/URB2/LOC102724159/SUV39H1/EXOSC7/RPL7/ESF1/RPS9/MPV17L2/TSR1/TMA16/RPS6/NOP53/URB1/LYAR/KRI1/CUL4A/METTL16/RIOX2"
"GO:0010948","negative regulation of cell cycle process",329,-0.38046494875735,-1.71704081739305,1.81944689393773e-08,1.86238584063466e-05,1.53523013703209e-05,7314,"tags=32%, list=19%, signal=26%","PKD2/MUC1/MDC1/PTEN/ZC3H12D/PRKDC/NEK2/BUB1B/SMARCA5/PPP2R5C/MIR29C/CRLF3/DCUN1D3/CDC14B/CDT1/USP28/MRNIP/TICRR/BTN2A2/TRIAP1/MTBP/AURKB/CDK5RAP2/EME1/EIF2AK4/E2F1/MACROH2A1/MIR424/CENPF/MRE11/CDC73/RBM38/CDC20/SKA1/XPC/PARP9/KNL1/TOM1L2/UFL1/PCID2/BRCA1/INCENP/BIRC5/INTS3/TELO2/MBTPS1/CDCA8/RBL2/KAT2B/E2F8/PLK1/TIPIN/ATM/RGCC/CDK2AP2/NDC80/CTDSP1/CDK1/DLG1/NPM1/GTSE1/ESPL1/PROX1/SKA3/PTPN11/RB1/RBBP8/SLFN11/NSUN2/FBXO7/BARD1/CRY1/TOM1L1/MIR29A/MIR19B1/RFWD3/GPER1/SYF2/ORC1/CDC6/BUB1/TPRA1/FAM107A/CTDSP2/TP53/RAD51/CTDSPL/FANCD2/CENATAC/CDK2/KNTC1/CCNB1/TRIP13/FBXO5/NOP53/DUX4/CUL4A/HLA-G/CDKN1B/ZFP36L2/ZFP36L1/SOX2/DONSON/XRCC3/BRIP1/KANK2"
"GO:0045786","negative regulation of cell cycle",419,-0.363309546566296,-1.67840989247935,1.14715311663601e-08,1.86238584063466e-05,1.53523013703209e-05,7974,"tags=34%, list=21%, signal=27%","ABRAXAS1/EZH2/EGFR/ALOX15B/NUF2/STK38/NLRP2B/NR4A1/CDKN2A/DTL/NUDT6/FBXO4/MIR21/PKD2/MUC1/MDC1/PTEN/ZC3H12D/PRKDC/NEK2/BUB1B/NHERF1/SMARCA5/PPP2R5C/MIR29C/CRLF3/DCUN1D3/MAPK12/CDC14B/CDT1/USP28/MRNIP/HHEX/IPO7/TICRR/BTN2A2/TRIAP1/MTBP/AURKB/SIPA1/CDK5RAP2/MIR711/EME1/CEBPA/EIF2AK4/E2F1/MACROH2A1/MIR424/CENPF/MRE11/CDC73/RBM38/CDC20/IPO5/SKA1/XPC/MCIDAS/PARP9/KNL1/TOM1L2/UFL1/IL10/PCID2/THAP5/BRCA1/INCENP/BIRC5/INTS3/TP53I13/TELO2/MBTPS1/CDCA8/RBL2/KAT2B/E2F8/PLK1/INHA/TIPIN/ATM/RGCC/CDK2AP2/NDC80/CTDSP1/CDK1/BTG3/DLG1/NPM1/GTSE1/ESPL1/PROX1/SKA3/PTPN11/SCRIB/RB1/RBBP8/HPGD/ANGEL2/SLFN11/NSUN2/FBXO7/BARD1/CRY1/TOM1L1/MIR29A/MIR19B1/RFWD3/GPER1/SUV39H1/SYF2/ORC1/CDC6/BUB1/FOXC1/TPRA1/FAM107A/CTDSP2/TP53/ADCYAP1/RAD51/CTDSPL/FANCD2/HOXC9/CENATAC/PTPN3/CDK2/KNTC1/CCNB1/TRIP13/PTPRK/FBXO5/NOP53/CTNNB1/DUX4/CUL4A/HLA-G/CDKN1B/ZFP36L2/ZFP36L1/SOX2/DONSON/XRCC3/BRIP1/KANK2"
"GO:0022613","ribonucleoprotein complex biogenesis",486,-0.345889327220355,-1.61365909978804,1.66244369565979e-08,1.86238584063466e-05,1.53523013703209e-05,9063,"tags=37%, list=24%, signal=29%","RPUSD1/RPS14/TAF12-DT/RPS25/HEATR1/DDX42/KHDC4/DDX27/RRP9/PUF60/RBMX2/WDR55/ISG20/PAK1IP1/DIS3/DDX31/RPUSD4/WDR18/EFL1/SRSF5/RPS4X/RPS23/SF3A3/ZNF593/FAU/DHX29/NAT10/AIRIM/SF3B2/GNL2/SF3B3/RPL7A/USP36/RPF2/CDKN2A/DDX18/PPAN/C1QBP/ZCCHC4/RSL24D1/DDX56/EXOSC2/RPS27/RPS19BP1/RRP36/SLX9/PRKDC/UTP20/RRP7BP/TRMT112/CINP/SRSF6/RBM5/PRPF3/WDR43/RPS27A/RPL10L/WDR3/TFB2M/RCC1L/WDR75/DKC1/NOP14/RPS21/RRS1/U2AF2/ZRSR2/RPL13A/MYBBP1A/TGS1/TBL3/LTO1/NOL10/RRP7A/DCAF13/DDX54/UTP6/EIF3I/RPS13/MRPS7/RNVU1-8/RPS19/UTP18/FBL/EIF3A/RPS15/MALSU1/NOP2/DDX47/PES1/RPS12/NSUN4/NOL3/SHQ1/SETX/EIF3B/DDX39B/ZNF658/MAK16/RPL5/EIF3F/EIF4A3/SF1/SF3A1/UTP14A/NOL8/NOL6/EIF2S3B/DDX21/KAT2B/LOC100128988/RPSA2/SCAF11/LSG1/RBFA/EIF3L/DDX17/LUC7L/RRP1B/EXOSC1/DDX52/PWP2/EIF2A/RPS3A/NAF1/SNRNP200/ATM/EXOSC4/NOB1/SNRPE/NPM3/RPS16/DDX51/NOA1/SIRT7/EIF3M/NOM1/NPM1/GAR1/RPS24/GLUL/UTP15/NOC4L/GNL3L/EIF3D/RBIS/RPP38/ERI1/RPS8/MRM1/GEMIN4/EIF2S3/URB2/LOC102724159/SF3B1/SUV39H1/RNU5A-1/EXOSC7/RPL7/PRKRA/ESF1/RPS9/RUVBL1/MPV17L2/TSR1/TMA16/TXNL4A/RNU4-1/EIF2D/RPS6/LSM2/NOP53/EIF3E/EIF3H/URB1/RNU4ATAC/LYAR/KRI1/CUL4A/METTL16/RIOX2/CLNS1A"
"GO:0045930","negative regulation of mitotic cell cycle",256,-0.40521283441627,-1.78613398660777,5.22705482221445e-08,4.45867776334892e-05,3.67544486446237e-05,7339,"tags=34%, list=19%, signal=28%","MIR21/PKD2/MUC1/MDC1/PTEN/ZC3H12D/PRKDC/BUB1B/NHERF1/PPP2R5C/MIR29C/CRLF3/DCUN1D3/CDC14B/MRNIP/TICRR/BTN2A2/TRIAP1/MTBP/AURKB/CDK5RAP2/EME1/CENPF/MRE11/CDC73/RBM38/CDC20/SKA1/XPC/KNL1/TOM1L2/IL10/PCID2/BRCA1/INCENP/BIRC5/INTS3/MBTPS1/CDCA8/RBL2/PLK1/TIPIN/ATM/RGCC/CDK2AP2/NDC80/CTDSP1/CDK1/BTG3/DLG1/GTSE1/SKA3/SCRIB/RB1/RBBP8/ANGEL2/SLFN11/FBXO7/BARD1/TOM1L1/MIR29A/MIR19B1/RFWD3/SYF2/ORC1/CDC6/BUB1/FOXC1/TPRA1/FAM107A/CTDSP2/TP53/CTDSPL/FANCD2/PTPN3/CDK2/KNTC1/CCNB1/TRIP13/FBXO5/NOP53/CTNNB1/CDKN1B/ZFP36L2/ZFP36L1/DONSON/XRCC3/KANK2"
"GO:0140014","mitotic nuclear division",281,-0.386267746396265,-1.71889725892824,2.04847120378328e-07,0.000131050945262035,0.000108029902431097,7097,"tags=34%, list=19%, signal=28%","CDC14C/NEK2/BUB1B/KIF4A/SMARCA5/REEP3/ANLN/CCDC8/KIF15/CDC14B/FBXW5/CDT1/EML3/RRS1/MKI67/MTBP/AURKB/CDK5RAP2/MYBL2/CENPE/PHF13/KIF14/STAG2/CENPF/KIF18B/ANKLE2/CDC20/SPAG5/SKA1/CDCA2/PDGFB/KNL1/KIF18A/TENT4A/TOM1L2/RHOA/DLGAP5/CDC16/PCID2/POLDIP2/KPNB1/MISP/INCENP/BIRC5/SEH1L/CTDP1/KIF2C/CDCA8/KAT2B/CAV2/EREG/PLK1/ATM/NCAPG/RGCC/EPS8/NDC80/NFIA/CDK1/NUP62/EGF/INS/UBE2C/ESPL1/SKA3/RB1/KIF23/CEP192/NUSAP1/FLNA/OBSL1/TOM1L1/PSRC1/KIF11/CDCA5/BUB1/KIFC1/TGFA/KIF20B/ARHGEF10/KNTC1/CCNB1/TRIP13/WRAP73/FBXO5/CENPK/TPX2/EPGN/NFIB/CDKN1B/SMC4/XRCC3/SPHK1/BTC/RIPOR2/FGF8"
"GO:0071559","response to transforming growth factor beta",312,-0.37694398229336,-1.6927126669185,2.01563795508865e-07,0.000131050945262035,0.000108029902431097,5949,"tags=27%, list=16%, signal=23%","GLG1/SMAD5/LTBP1/FNTA/VASN/CAV3/MIR424/AXIN1/SDCBP/SAP30/CD109/TGFBRAP1/MIR30A/NRROS/PARP1/SMAD6/EPB41L5/SKI/SIN3A/ROCK2/ROCK1/MIR199A1/STK11/SMAD3/CDH5/LTBP4/HTRA1/ADAM9/CAV2/FERMT2/MIR27B/NPNT/USP9X/DLX1/TET1/CAV1/XBP1/SLC2A10/LIMS1/TGFBR3/HSPA5/PENK/PALS1/HPGD/CHST11/CTSK/PMEPA1/DKK3/TGFB1I1/FGFR2/ZEB2/MIR19B1/MIR20A/RBBP7/MIR17/PPARA/FYN/CITED2/YES1/MIR27A/ZBTB7A/TP53/SPRED1/CLDN1/FKBP1A/COL1A2/STAT3/MIRLET7A1/SELENON/SOX6/APPL2/MIR93/NDP/TWSG1/PTPRK/ITGB8/LTBP3/SOX9/HDAC1/ZFP36L2/ITGB5/ZFP36L1/CIDEA/CFLAR/NFATC1"
"GO:1901988","negative regulation of cell cycle phase transition",287,-0.382721086812525,-1.707702082723,2.33591573866047e-07,0.000132835741671825,0.000109501172871943,7314,"tags=33%, list=19%, signal=27%","DTL/FBXO4/PKD2/MUC1/MDC1/PTEN/ZC3H12D/PRKDC/BUB1B/PPP2R5C/MIR29C/CRLF3/DCUN1D3/CDC14B/CDT1/USP28/MRNIP/TICRR/BTN2A2/TRIAP1/AURKB/CDK5RAP2/EME1/EIF2AK4/E2F1/MACROH2A1/CENPF/MRE11/CDC73/RBM38/CDC20/SKA1/XPC/PARP9/KNL1/UFL1/PCID2/BRCA1/INCENP/BIRC5/INTS3/TELO2/MBTPS1/CDCA8/RBL2/PLK1/TIPIN/ATM/RGCC/CDK2AP2/NDC80/CTDSP1/CDK1/DLG1/GTSE1/PROX1/SKA3/PTPN11/RB1/RBBP8/SLFN11/NSUN2/FBXO7/BARD1/CRY1/MIR29A/MIR19B1/RFWD3/SYF2/ORC1/CDC6/BUB1/TPRA1/FAM107A/CTDSP2/TP53/RAD51/CTDSPL/FANCD2/CDK2/KNTC1/CCNB1/TRIP13/FBXO5/NOP53/CUL4A/CDKN1B/ZFP36L2/ZFP36L1/SOX2/DONSON/XRCC3/BRIP1/KANK2"
"GO:1901991","negative regulation of mitotic cell cycle phase transition",205,-0.421824673950048,-1.81871872512124,2.8795672961267e-07,0.000147376254215764,0.000121487428661851,7314,"tags=35%, list=19%, signal=28%","PKD2/MUC1/PTEN/ZC3H12D/PRKDC/BUB1B/PPP2R5C/MIR29C/CRLF3/DCUN1D3/CDC14B/MRNIP/TICRR/BTN2A2/TRIAP1/AURKB/CDK5RAP2/CENPF/MRE11/CDC73/RBM38/CDC20/SKA1/KNL1/PCID2/BRCA1/INCENP/BIRC5/INTS3/MBTPS1/CDCA8/RBL2/PLK1/ATM/RGCC/CDK2AP2/NDC80/CTDSP1/CDK1/DLG1/GTSE1/SKA3/RB1/RBBP8/SLFN11/FBXO7/BARD1/MIR29A/MIR19B1/RFWD3/SYF2/ORC1/CDC6/BUB1/TPRA1/FAM107A/CTDSP2/TP53/CTDSPL/CDK2/KNTC1/CCNB1/TRIP13/FBXO5/NOP53/CDKN1B/ZFP36L2/ZFP36L1/DONSON/XRCC3/KANK2"
