"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",200,-0.492131686181134,-2.1072084874277,1e-10,5e-09,2.52631578947368e-09,8904,"tags=46%, list=24%, signal=35%","RANBP1/UNG/TACC3/PPM1D/SMC6/WEE1/HUS1/ING3/PAN2/ORC2/EZH2/CDKN2C/DIAPH3/POLD1/CDKN2A/TK1/PRKDC/NUP107/BUB1B/KIF4A/MCM5/POLE4/CDKN3/MCM7/IPO7/WDR90/TMPO/RNASEH2A/MKI67/RFC1/RRM2/AURKB/MCM6/MYBL2/RFC3/CENPE/TCF19/ASF1B/MRE11/KIF18B/PTTG1/POLD3/CDC20/SPAG5/RAD51AP1/CCNB2/DLGAP5/DEPDC1/TOP2A/DSCC1/BRCA1/CKS2/SYNCRIP/BIRC5/PLK4/KIF2C/CDCA8/E2F8/PLK1/TIPIN/LIG1/GINS1/HMGB2/CDK1/MCM2/ESPL1/CKS1B/BARD1/DEK/RBBP7/CDC25B/SUV39H1/CDK4/ANP32E/TP53/AK2/NAP1L1/CENPM/USP1/TRIP13/TFRC/GINS4/RPA1/LYAR/MELK/CDKN1B/SMC4/DONSON/ORC6/SHMT1/PAICS"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",200,-0.444047806931531,-1.90132302768529,3.17706380479134e-08,7.94265951197835e-07,4.01313322710485e-07,4573,"tags=24%, list=12%, signal=21%","ICOSLG/TLR2/SOD2/CD69/NR4A2/IL15RA/SMAD3/KLF2/CXCL11/PLAU/TGIF1/PNRC1/DRAM1/MSC/CEBPD/SQSTM1/IRS2/BTG3/G0S2/ZFP36/BIRC3/IER5/PTX3/PMEPA1/CEBPB/AREG/NFKB1/IFIH1/RELB/NAMPT/PHLDA1/ICAM1/PLPP3/B4GALT1/LITAF/DENND5A/GFPT2/TNIP2/CLCF1/IFNGR2/TRIP10/TNFAIP2/NFKB2/SPHK1/CFLAR/CSF1/CD44"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",200,-0.429760524652141,-1.84014777047918,1.79086939292435e-07,2.98478232154059e-06,1.50810054140998e-06,7056,"tags=36%, list=19%, signal=29%","NEK2/KIF4A/PURA/WRN/MCM5/STIL/CDKN3/KIF15/TROAP/CCNA2/NOTCH2/DKC1/TMPO/MKI67/BCL3/CCNT1/AURKB/MCM6/MYBL2/CENPE/E2F1/DTYMK/PBK/SAP30/POLQ/CENPF/PTTG1/CDC20/E2F3/ORC5/KNL1/CCNB2/TENT4A/TOP2A/KPNB1/SMAD3/INCENP/CKS2/SYNCRIP/BIRC5/PLK4/KIF2C/NUP98/PLK1/ODC1/ODF2/NDC80/G3BP1/CDK1/EGF/UBE2C/MCM2/ESPL1/KIF23/NUSAP1/CKS1B/E2F2/BARD1/KIF11/CDC25B/SUV39H1/CDK4/CDC6/BUB1/CENPA/KIF20B/FBXO5/TPX2/CUL4A/CDKN1B/SMC4/ORC6"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,-0.400912697680064,-1.71662720160235,4.69190314281133e-06,5.86487892851416e-05,2.96330724809137e-05,4478,"tags=24%, list=12%, signal=22%","VCAN/TPM4/FUCA1/GJA1/IGFBP2/FAP/BGN/COPA/SPP1/HTRA1/FERMT2/SLC6A8/PLOD3/QSOX1/TGFBR3/MMP14/ELN/COL6A3/VCAM1/FLNA/PTX3/PMEPA1/EMP3/COL5A3/AREG/LAMA2/COL7A1/COL1A2/MSX1/TFPI2/BMP1/PRRX1/LAMA1/TNFRSF11B/EFEMP2/MYLK/LGALS1/PMP22/SERPINH1/COL8A2/FBLN5/WIPF1/ITGB5/PDLIM4/IL32/VIM/SFRP4/COLGALT1/CD44"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",113,-0.463690686177494,-1.84757837049541,8.91573938233517e-06,8.91573938233517e-05,4.50479463528514e-05,9647,"tags=51%, list=26%, signal=38%","TARS1/DCP2/NABP1/WFS1/PARN/FKBP14/MTREX/IARS1/XPOT/HSPA9/H2AX/EDEM1/RPS14/CNOT6/RRP9/GOSR2/HERPUD1/ARFGAP1/SEC11A/KHSRP/DDIT4/EXOSC2/SEC31A/DKC1/NOP14/SRPRA/ATF6/CNOT2/EIF4A1/SLC30A5/SLC1A4/EIF4A3/PSAT1/ATF4/SERP1/HYOU1/EXOSC1/EXOSC4/XBP1/YIF1A/KDELR3/HSPA5/NPM1/DNAJC3/SPCS1/PDIA6/EIF4A2/SKIC3/CKS1B/GEMIN4/SSR1/CEBPB/SHC1/CALR/ALDH18A1/HSP90B1/PDIA5/EXOC2"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",200,-0.363029194033407,-1.55441769008484,0.000146850124718663,0.00100574648089993,0.000508166642981016,4656,"tags=26%, list=12%, signal=23%","RRP12/PDLIM3/GJA1/SLC26A2/MLPH/IL17RB/SLC37A1/TGIF2/SLC1A4/MYBL1/ALDH3B1/AR/RETREG1/CANT1/ESRP2/TPBG/ADCY9/TSKU/XBP1/FKBP5/GLA/CELSR2/SLC16A1/NAV2/RBBP8/ELOVL5/KRT15/NADSYN1/SYT12/FOXC1/AREG/INHBB/RHOD/AFF1/SCARB1/TFAP2C/RHOBTB3/PODXL/WWC1/FRK/RAB31/PLAAT3/SEC14L2/ASB13/B4GALT1/ZNF185/SEMA3B/TOB1/THSD4/LRIG1/EEIG1/CD44"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",200,-0.362335318065823,-1.55144665332949,0.000155643443234084,0.00100574648089993,0.000508166642981016,4679,"tags=27%, list=12%, signal=24%","KLRK1/NMI/SOD2/SP110/CD69/C1S/IFITM2/IL15RA/IRF2/SRI/ST3GAL5/PSMB9/CXCL11/PNPT1/LAP3/GBP4/OAS3/PSME1/CASP7/PTPN2/CD74/VCAM1/IFI44/PSMB8/DDX60/NOD1/XAF1/IFITM3/MVP/DHX58/NFKB1/STAT3/TAPBP/CD38/CFB/TNFSF10/IFIH1/PARP12/NAMPT/TRIM14/ICAM1/C1R/HLA-B/RTP4/ZNFX1/SPPL2A/TRIM25/HLA-G/SSPN/PARP14/HLA-A/USP18/TNFAIP2/TMT1B"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",200,-0.361810767280907,-1.54920063280876,0.000160919436943988,0.00100574648089993,0.000508166642981016,6564,"tags=26%, list=17%, signal=22%","CCNA2/MCM7/SLC25A3/EIF4H/SERBP1/MCM6/UBA2/CCT4/PRDX3/RPL34/CANX/GNL3/FBL/CDC20/AIMP2/EIF4A1/RACK1/EIF3B/KPNB1/SYNCRIP/SNRPA/SF3A1/ETF1/DDX21/RPS2/RPLP0/RSL1D1/ODC1/G3BP1/RPL6/NPM1/MCM2/HSPE1/EIF3D/PABPC1/DEK/CDK4/EXOSC7/CAD/HDGF/NAP1L1/TXNL4A/CDK2/USP1/RPS6/LSM2/TYMS/FAM120A/NCBP2/CLNS1A/EEF1B2/CNBP"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,-0.432812679415982,-1.68447978899583,0.000233497935359099,0.001297210751995,0.000655432801007998,6778,"tags=40%, list=18%, signal=33%","TAP1/STAT2/B2M/PSMA3/HELZ2/CD47/MVB12A/TXNIP/NMI/TMEM140/PARP9/SP110/C1S/IFITM2/IRF2/PSMB9/CXCL11/PNPT1/LAP3/GBP4/PSME1/MOV10/CD74/IFI44/PSMB8/DDX60/IFITM1/IFITM3/TRIM5/DHX58/IFIH1/PARP12/UBA7/TRIM14/RTP4/TRIM25/PARP14/USP18/CSF1"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,-0.524893992917576,-1.86669979110843,0.000364252120484236,0.00178950518921764,0.000904171042973123,7645,"tags=48%, list=20%, signal=39%","RABEPK/UNG/RRP9/CBX3/SRM/DDX18/PPAN/UTP20/PPRC1/MCM5/WDR43/TFB2M/MYBBP1A/GNL3/RRP12/AIMP2/NOP2/PES1/PRMT3/HK2/PLK4/PLK1/SLC19A1/NPM1/NOC4L/HSPE1/CDK4/MAP3K6"
