"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04740","Olfactory transduction",434,0.466348800182919,1.81852520526362,1e-10,3.46e-08,2.76842105263158e-08,9066,"tags=23%, list=24%, signal=18%","5593/5592/81285/120776/409/4992/5567/5997/26188/817/390190/391190/3000/338755/6546/5153/157/390077/816/81399/123041/390067/8392/390648/390075/219965/51764/26339/6547/135946/808/138805/390059/390036/4994/162998/143502/401427/143503/196335/119772/4995/26683/5566/2774/143496/805/5138/408/341568/120065/120775/1260/126370/128372/138803/138804/150681/158131/219954/219960/219981/219983/26531/26648/26687/26689/284532/338662/341416/346525/390063/390064/390084/390093/390174/390195/390271/390327/391121/391189/441608/5568/653166/79544/79549/8383/8390/8590/801/390649/109/127623/156/390037/388761/1261/79345/390058/818"
"hsa05171","Coronavirus disease - COVID-19",234,-0.357161145518856,-1.55882201271956,4.8828661274721e-05,0.00563157226701783,0.00450594312815847,8354,"tags=37%, list=22%, signal=29%","29110/6191/6228/2197/6158/5610/4793/1956/6130/115004/718/7132/51187/6232/6176/6159/9349/100529097/3661/6850/6773/7113/6233/140801/6300/6170/6227/6124/6173/23521/5970/6207/5335/6164/6161/7450/3444/3447/6223/6160/6156/6209/7097/6206/716/6125/23118/6181/6122/6157/2162/388524/6187/6142/6175/6189/4940/6217/3592/7187/6128/3454/728/6229/6202/7099/6134/6129/7297/4790/6203/3551/57506/6774/629/64135/730/5648/2212/6194/6231/5578/715/5336/200916/6192"
"hsa04151","PI3K-Akt signaling pathway",361,-0.318597923604365,-1.44692797792408,3.83323772141255e-05,0.00563157226701783,0.00450594312815847,5009,"tags=25%, list=13%, signal=22%","1442/3444/3447/3559/7010/55970/8515/5008/5294/7097/5155/146850/3911/2251/5586/6794/672/3667/56034/2792/6696/468/1297/5934/2069/2246/2064/200186/7148/5525/5649/1287/3679/1950/3630/1443/5516/3454/1293/285/2475/9180/57121/896/7099/2263/2783/5105/1019/2787/3691/374/1436/4790/7157/3908/3551/2690/5156/1278/2846/284217/2323/27006/7039/4893/3561/1017/131873/59345/1299/1902/7184/6194/5578/3696/3913/23566/10110/1280/4915/10319/1027/3693/29941/2260/2791/1291/1975/1435/2253"
"hsa03010","Ribosome",204,-0.36691460922634,-1.58188632197989,8.38115931622032e-05,0.00684686668487343,0.0054783265534582,10198,"tags=42%, list=27%, signal=31%","6205/6141/109910380/106631781/63875/6224/79590/6171/6167/740/100008588/6193/106632260/6137/51253/6208/6230/84545/64976/11222/28977/64949/51069/6191/6228/2197/6158/124995/6130/51187/6232/6176/6159/9349/100529097/6233/140801/64968/6170/6227/6124/65003/6173/51073/23521/6207/51081/6164/6161/6223/6160/6156/6209/6206/10399/6125/10884/51264/6181/6122/6157/388524/6187/6142/6175/64975/6189/6217/6128/64979/6229/64928/64951/6202/6134/54948/6129/6203/9801/54148/7818/6194/6231/200916/6192"
"hsa05165","Human papillomavirus infection",332,-0.323187887014017,-1.45910300412137,9.89431601860322e-05,0.00684686668487343,0.0054783265534582,7266,"tags=31%, list=19%, signal=25%","7132/1288/5605/5728/9368/5527/355/3661/6773/578/7484/1855/890/7855/4853/7471/11211/8992/3996/3685/1292/1869/1101/5970/3915/7448/8312/5520/3914/84612/23545/5315/7450/3444/3447/8515/3911/5986/6696/1297/5934/1856/3955/8322/9794/7148/5525/5649/472/1452/1287/3679/1950/7187/2308/1739/10312/5516/3454/1293/581/2475/23513/64398/5925/3134/4799/896/245973/7015/1019/7297/9519/3691/4790/7157/3133/3908/3551/1278/284217/4893/92359/1017/131873/1299/4851/1499/3696/3106/3913/3065/1280/23352/10319/23493/3135/1027/8324/3693/83439/1291/3105"
"hsa05020","Prion disease",274,0.408392135505464,1.5420336219921,0.000125963709012734,0.00726390721973433,0.00581200973164019,9926,"tags=36%, list=26%, signal=27%","1345/729/6261/29796/4714/55967/5567/516/2903/4702/836/1536/7384/4697/1349/1340/514/509/5595/5700/5600/3305/7846/5295/3800/4715/7381/5694/539/90993/4718/4724/126328/3798/731/4719/5533/4704/1457/5710/4725/7419/5293/7979/10381/6352/203068/4688/1337/5702/775/6263/5602/2932/4712/3831/4696/5713/10476/317/4707/522/10376/51079/5566/64837/3710/4535/5580/5568/712/7278/79861/4698/6262/774/1329/4540/4729/5601/5599/10382/110117499/8503/7388/5880/5530/4541/518/7416/1347/2905/5707/3552/3312/5532/4717/2902/1386"
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",195,-0.367585694621034,-1.57693451227923,0.000200471627192606,0.00990902614409168,0.00792842675964744,7371,"tags=31%, list=20%, signal=25%","718/7186/7132/5605/355/3661/6850/6773/578/6233/6300/2247/1869/1230/5970/5335/3708/3444/3447/55970/5294/5155/146850/1871/57580/4775/2792/4776/3459/3709/7187/7538/3454/51176/581/285/2475/5925/3134/1870/2783/1019/7297/2787/4790/7157/3133/3551/6774/4893/59345/3383/1499/3106/3135/5336/2791/83439/3105/100507436/4772"
"hsa04110","Cell cycle",158,-0.380415183348868,-1.59223175632255,0.000327517743908087,0.0141651424240248,0.0113338377168193,7097,"tags=37%, list=19%, signal=30%","168448/5591/701/151648/4174/5527/8555/890/81620/4176/90381/27085/9212/114799/4175/1869/10735/9232/991/1871/5001/6502/57082/9133/902/8881/1875/4088/5934/5347/10744/5525/472/10403/983/119504/5516/4171/9700/23383/5925/896/1870/994/113130/4998/1019/990/699/7157/157570/1017/891/9319/26271/3065/1027/23594"
"hsa00670","One carbon pool by folate",38,-0.580430455805478,-1.89691926135667,0.000443674589652059,0.0170568231132903,0.0136475341612271,3455,"tags=32%, list=9%, signal=29%","501/4548/2731/191/2618/10768/2653/7298/55349/10840/4522/6470"
"hsa04512","ECM-receptor interaction",89,-0.447176214884896,-1.71992992076651,0.000601447591461892,0.0199843407916005,0.015989904557928,6223,"tags=37%, list=17%, signal=31%","3685/1292/1101/961/3915/7448/3914/7450/8515/3911/6696/1297/7148/255743/5649/1287/3679/1293/3691/3908/1278/284217/131873/1299/3696/3913/1280/375790/10319/3693/1291/1605/960"
