"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression",112,-0.613463309918685,-2.44480309652162,1e-10,1.66625e-08,1.4171052631579e-08,7123,"tags=52%, list=19%, signal=42%","6191/6228/2197/6158/6130/6232/6176/6159/9349/6233/140801/6170/6227/6124/6173/7458/23521/8668/6207/6164/6161/6223/6160/6156/8661/6209/1973/6206/8662/6125/8665/6181/6122/6157/6187/6142/6175/51386/6189/6217/10480/6128/6229/1974/8664/6202/26986/1968/6134/6129/6203/6194/6231/3646/8667/1975/200916/6192"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",113,-0.605811467685674,-2.41807309416852,1e-10,1.66625e-08,1.4171052631579e-08,7123,"tags=50%, list=19%, signal=41%","6191/6228/2197/6158/6130/6232/6176/6159/9349/6233/140801/6170/6227/6124/6173/7458/23521/8668/6207/6164/6161/6223/6160/6156/8661/6209/1973/6206/8662/6125/8665/6181/6122/6157/6187/6142/6175/51386/6189/6217/10480/6128/6229/1974/8664/6202/1968/6134/6129/6203/6194/6231/3646/8667/1975/200916/6192"
"R-HSA-72613","Eukaryotic Translation Initiation",120,-0.596963913779109,-2.40618570913089,1e-10,1.66625e-08,1.4171052631579e-08,7123,"tags=46%, list=19%, signal=37%","6232/6176/6159/9349/6233/140801/6170/6227/6124/6173/7458/23521/1967/8668/6207/8892/6164/6161/6223/6160/6156/8661/6209/1973/6206/8662/6125/8665/6181/6122/6157/6187/6142/6175/51386/6189/6217/10480/6128/6229/1974/8664/6202/26986/1968/6134/6129/6203/6194/6231/3646/8667/1975/200916/6192"
"R-HSA-72737","Cap-dependent Translation Initiation",120,-0.596963913779109,-2.40618570913089,1e-10,1.66625e-08,1.4171052631579e-08,7123,"tags=46%, list=19%, signal=37%","6232/6176/6159/9349/6233/140801/6170/6227/6124/6173/7458/23521/1967/8668/6207/8892/6164/6161/6223/6160/6156/8661/6209/1973/6206/8662/6125/8665/6181/6122/6157/6187/6142/6175/51386/6189/6217/10480/6128/6229/1974/8664/6202/26986/1968/6134/6129/6203/6194/6231/3646/8667/1975/200916/6192"
"R-HSA-72689","Formation of a pool of free 40S subunits",102,-0.603103774584673,-2.36779893816014,1e-10,1.66625e-08,1.4171052631579e-08,8321,"tags=51%, list=22%, signal=40%","6191/6228/2197/6158/6130/6232/6176/6159/9349/6233/140801/6170/6227/6124/6173/23521/8668/6207/6164/6161/6223/6160/6156/8661/6209/6206/8662/6125/8665/6181/6122/6157/6187/6142/6175/51386/6189/6217/10480/6128/6229/8664/6202/6134/6129/6203/6194/6231/3646/8667/200916/6192"
"R-HSA-8868773","rRNA processing in the nucleus and cytosol",195,-0.508243329525038,-2.18446715127475,1e-10,1.66625e-08,1.4171052631579e-08,10283,"tags=52%, list=27%, signal=38%","27043/134430/6205/6141/10436/57647/27042/51388/115939/6224/6171/6167/56902/6193/23517/6137/6208/6230/55127/9136/22894/57418/6191/6228/2197/6158/55226/6130/23404/6232/88745/27340/6176/51504/6159/9349/23160/6233/140801/10885/84128/1736/8602/6170/6227/6124/6173/23521/10607/27341/25879/55813/6207/6164/6161/26354/6223/51096/2091/6160/6156/6209/4839/51202/23481/6206/6125/6181/10813/65083/55131/9188/6122/6157/6187/6142/6175/51013/11056/5822/6189/54512/28987/6217/6128/54433/6229/84135/79050/10557/90459/6202/6134/23016/6129/6203/55720/6194/6231/200916/6192"
"R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol",185,-0.50731660280429,-2.16465305224408,1e-10,1.66625e-08,1.4171052631579e-08,10283,"tags=51%, list=27%, signal=38%","27043/134430/6205/6141/10436/57647/27042/51388/6224/6171/6167/56902/6193/23517/6137/6208/6230/55127/9136/22894/57418/6191/6228/2197/6158/6130/23404/6232/88745/27340/6176/6159/9349/23160/6233/140801/10885/84128/8602/6170/6227/6124/6173/23521/10607/27341/25879/55813/6207/6164/6161/26354/6223/51096/2091/6160/6156/6209/51202/23481/6206/6125/6181/10813/65083/55131/9188/6122/6157/6187/6142/6175/51013/11056/5822/6189/54512/28987/6217/6128/6229/84135/79050/10557/90459/6202/6134/23016/6129/6203/55720/6194/6231/200916/6192"
"R-HSA-72312","rRNA processing",205,-0.493129460275887,-2.12526386838861,1e-10,1.66625e-08,1.4171052631579e-08,10283,"tags=51%, list=27%, signal=37%","27043/134430/6205/6141/10436/57647/27042/51388/115939/6224/6171/6167/56902/6193/23517/60528/6137/6208/6230/55127/9136/22894/57418/6191/6228/2197/6158/55226/6130/23404/6232/88745/27340/6176/51504/6159/9349/23160/6233/140801/10885/84128/1736/8602/6170/6227/9692/6124/6173/23521/10607/27341/25879/55813/6207/6164/6161/26354/6223/51096/2091/6160/6156/6209/4839/51202/23481/6206/387338/6125/6181/10813/65083/55131/9188/6122/6157/6187/6142/6175/51013/11056/5822/6189/54512/28987/6217/6128/54433/6229/84135/79050/10557/90459/6202/79922/6134/23016/6129/6203/55720/6194/6231/200916/6192"
"R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",96,-0.605298274876057,-2.35877891511946,1.57176315432742e-10,2.32795587190939e-08,1.97987007860892e-08,10198,"tags=58%, list=27%, signal=43%","6205/6141/5976/6224/6171/6167/6193/6137/6208/6230/6191/6228/2197/6158/6130/6232/6176/6159/9349/6233/140801/6170/6227/6124/6173/23521/6207/6164/6161/6223/6160/6156/6209/6206/6125/6181/2107/6122/6157/6187/6142/6175/6189/6217/6128/6229/6202/26986/6134/6129/6203/6194/6231/22916/200916/6192"
"R-HSA-156902","Peptide chain elongation",90,-0.608180823676647,-2.34749426081958,1.99529724911895e-10,2.65973123307556e-08,2.26203698663274e-08,10198,"tags=59%, list=27%, signal=43%","6205/6141/6224/6171/6167/6193/6137/6208/6230/6191/6228/2197/6158/6130/6232/6176/6159/9349/6233/140801/6170/6227/6124/6173/23521/6207/6164/6161/6223/6160/6156/6209/6206/6125/6181/6122/6157/6187/6142/6175/6189/6217/6128/6229/6202/6134/6129/6203/6194/6231/1915/200916/6192"
