"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS",88,-0.592201006124515,-2.26142200777814,4.89682045121082e-09,3.22700467734793e-06,2.74221945267806e-06,10198,"tags=58%, list=27%, signal=42%","RPS11/RPL18/RPS20/RPL41/RPL37/RPS5/RPL13/RPS14/RPS25/RPS4X/RPS23/FAU/RPL28/RPL7A/RPS27/RPLP1/RPL29/RPL23/RPS27A/RPL39/RPS21/RPL4/RPL36A/RPL13A/RPS13/RPL34/RPL32/RPS19/RPL31/RPL30/RPS15/RPS12/RPL5/RPLP2/RPL3/RPL27A/RPS2/RPL18A/RPLP0/RPS3A/RPS16/RPL6/RPS24/RPS8/RPL10/RPL7/RPS9/MRPL19/RPS6/RPS26/RPS4Y1"
"WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR","WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR",81,-0.517142320627486,-1.94865546941841,1.15628267645782e-05,0.00253996761261902,0.00215839432938794,10434,"tags=56%, list=28%, signal=40%","EXO1/NBN/CDC45/RPA2/UPF1/MCPH1/H2AX/RAD1/TRIM28/PPM1D/PML/BCL6/FEN1/HUS1/ABRAXAS1/RECQL5/MDC1/PRKDC/WRN/RECQL/E2F1/MRE11/POLN/PARP1/BRCA1/FOXM1/PLK1/RAD52/ATM/CDK1/TOP3A/MCM2/RBBP8/PALB2/BARD1/RFWD3/TP53/RAD51/FANCD2/CDK2/USP1/FANCI/RPA1/SP1/BRIP1"
"WP_RETINOBLASTOMA_GENE_IN_CANCER","WP_RETINOBLASTOMA_GENE_IN_CANCER",90,-0.497000184915992,-1.90386369652627,1.03881422514695e-05,0.00253996761261902,0.00215839432938794,7339,"tags=43%, list=19%, signal=35%","MIR21/PRKDC/KIF4A/ANLN/CCNA2/CDT1/MCM7/RRM2/MCM6/RFC3/E2F1/SAP30/POLD3/E2F3/SIN3A/SKP2/CCNB2/CCDC6/TOP2A/PLK4/HMGB2/CDK1/RB1/CCND3/E2F2/BARD1/POLA1/RBBP7/CDC25B/SUV39H1/ORC1/CDK4/TP53/CDK2/CCNB1/TYMS/HDAC1/RPA1/CDKN1B"
"WP_MIRTARGETED_GENES_IN_MUSCLE_CELL","WP_MIRTARGETED_GENES_IN_MUSCLE_CELL",397,-0.323649709898515,-1.48822146446421,1.61599858068101e-05,0.00266235766167196,0.00226239801295341,8161,"tags=34%, list=22%, signal=27%","SLC38A2/TPM3/CA12/MTRR/LRRC8A/MYO1E/EZH2/EGFR/PPIF/SLC25A1/UHRF1/LPL/SPARC/CPOX/MIR21/C1QBP/NF2/ADAMTSL4-AS1/NCEH1/PTPRF/TNFRSF10B/CYP51A1/MBNL1/RAB34/SNAP29/ABHD10/TGFBR2/POLE4/MIRLET7G/MIR29C/MAPK12/PPIB/TP53INP1/NOTCH2/SLC4A7/POLR2C/DOCK5/CSRP1/SH3BP4/SYPL1/ATP6V0E1/BET1/FGF2/FMNL2/SLC12A4/HMOX1/E2F1/MIR23B/LAMC1/RCN2/SDCBP/PKM/MIR3591/MIR1-1/MIR129-1/MIR30A/CDKAL1/NAA15/SLC38A5/ACAA2/MIR23A/E2F3/TPM4/GJA1/GAK/POGLUT3/PKN2/ATG9A/MIR199A1/SLC1A4/IRS1/MIR155/PSAT1/MAGT1/SERP1/TMEM109/DHX40/GSTM4/PLK1/MIR27B/ERBB2/RAVER2/NFIA/FNDC3B/NUFIP2/MIR133A2/SYNE2/TXNRD1/UBE4A/MOV10/LAMTOR5/RB1/GNL3L/SPTLC1/MRPS24/GPD2/MIR107/MYO10/MIR29A/MIRLET7F2/MIR20A/MIR17/MIR378A/ANP32B/TMEM43/ITGB4/CEBPB/GFM1/MIR3074/MIRLET7A2/CLDN1/PGM1/COL1A2/GNPNAT1/MIRLET7A1/CIAO2A/HIPK3/USP1/NOTCH1/CPNE8/CTSC/CTNNB1/PODXL/NUCB1/ADIPOR2/TYMS/TMT1A/WDR11/MRC2/AXL/CDKN1B/CALCOCO2/TNFAIP2/CSF1"
"WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA","WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA",74,-0.522293651677091,-1.93266498033351,2.88297909140822e-05,0.00379976644247603,0.0032289365823772,8330,"tags=49%, list=22%, signal=38%","RHEB/NFE2L2/NUMB/EGFR/AJUBA/CDKN2A/DDIT4/REL/PTEN/TGFBR2/NOTCH2/E2F1/RELA/BIRC2/PIK3CG/STK11/GAB1/TP63/MAML1/ERBB2/TRAF3/IRF6/MTOR/RB1/FGFR2/TERT/CDK4/NFKB1/TP53/FKBP1A/NRAS/NOTCH1/RPS6/CTNNB1/FGFR1/NFKB2"
"WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS","WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS",72,-0.514236410465427,-1.8904760529712,4.15518188301592e-05,0.00391180694415356,0.00332414550641274,7994,"tags=51%, list=21%, signal=41%","PLCE1/MYO1E/PARVA/ITGA3/PLAUR/MME/CDH2/WNT1/MKI67/ITGAV/NPHS2/WT1/PLCG1/VTN/LAMA5/INF2/TLN1/COL4A5/LIMS1/IRF6/TLR4/FYN/ITGB4/CLDN1/VCL/NOTCH1/NCK1/CTNNB1/PODXL/SCARB2/ACTN4/LAMB2/CD151/AGRN/CDKN1B/VIM/DAG1"
"WP_PI3KAKT_SIGNALING","WP_PI3KAKT_SIGNALING",339,-0.326944151012252,-1.48297633975691,4.07742238777274e-05,0.00391180694415356,0.00332414550641274,5009,"tags=26%, list=13%, signal=22%","CSH1/IFNA7/IFNA13/IL2RA/TEK/GNG12/ITGA10/OSM/PIK3CG/TLR2/PDGFB/PIK3R6/LAMA5/FGF6/PKN2/STK11/BRCA1/IRS1/PDGFC/GNGT1/SPP1/ATF4/COL9A1/RBL2/FGF1/TNXB/PPP2R5A/RELN/COL4A5/ITGA7/EGF/INS/CSH2/PPP2CB/IFNAR1/COL6A3/ANGPT2/MTOR/OSMR/LPAR5/CCND3/TLR4/FGFR2/GNB2/PCK1/CDK4/GNG5/ITGB4/CSF1R/NFKB1/TP53/LAMA2/IKBKB/GHR/PDGFRA/COL1A2/LPAR4/LAMA1/FLT3LG/FGF22/TGFA/NRAS/IL2RG/CDK2/COL6A6/GNB4/COL9A3/LPAR1/HSP90B1/RPS6/PRKCA/ITGB8/LAMB2/LPAR3/SGK2/COL2A1/NTRK2/LAMC3/CDKN1B/ITGB5/PKN3/FGFR1/GNG11/COL6A1/EIF4B/CSF1/FGF8"
"WP_TRANSLATION_FACTORS","WP_TRANSLATION_FACTORS",50,-0.561866687827635,-1.93558666684321,6.35142169064551e-05,0.00465065210459488,0.00395199571862387,6914,"tags=44%, list=18%, signal=36%","EIF1AY/CLUH/EIF4H/EIF2B1/EIF3I/EIF2B2/EIF3A/EIF4A1/EIF3B/EIF3F/ETF1/EIF2AK1/EIF4A2/EIF3D/PABPC1/EIF2S3/EEF1D/EIF3E/EIF3H/EEF1A1/EEF1B2/EIF4B"
"WP_MIRTARGETED_GENES_IN_LYMPHOCYTES","WP_MIRTARGETED_GENES_IN_LYMPHOCYTES",484,-0.293821791739708,-1.37175612036603,6.24573798932508e-05,0.00465065210459488,0.00395199571862387,7366,"tags=33%, list=20%, signal=27%","VAMP3/SLC38A2/TPM3/BCKDHB/MTRR/LRRC8A/MYO1E/EZH2/EGFR/PPIF/SLC25A1/UHRF1/LPL/CDKN2A/CPOX/MIR21/C1QBP/SERPINE2/NF2/ADAMTSL4-AS1/RCOR1/NCEH1/PTPRF/TNFRSF10B/CYP51A1/MBNL1/RAB34/SNAP29/ABHD10/PURA/TGFBR2/PPP2R5C/POLE4/MIRLET7G/MIR29C/MAPK12/PPIB/TP53INP1/NOTCH2/SLC4A7/POLR2C/NPR3/DOCK5/CSRP1/SH3BP4/SYPL1/ATP6V0E1/BET1/FGF2/FMNL2/AURKB/SLC12A4/HMOX1/FADS1/E2F1/MIR23B/LAMC1/RCN2/SDCBP/PKM/MIR3591/MIR1-1/MIR129-1/MIR196A1/MIR30A/MARS2/CAP1/CDKAL1/MIR181D/DDX5/PHC2/NAA15/ACAA2/PEDS1-UBE2V1/MIR23A/E2F3/TPM4/GAK/POGLUT3/PKN2/ATG9A/MIR199A1/SLC1A4/ARFIP1/IRS1/MIR155/PSAT1/MAGT1/SERP1/TMEM109/MIR370/DHX40/GSTM4/IQGAP3/FERMT2/PLK1/MIR181C/RAVER2/NFIA/SUCLG2/FNDC3B/NUFIP2/MIR133A2/SYNE2/TXNRD1/UBE4A/MOV10/LAMTOR5/MSI2/VCAM1/UTP15/ARFIP2/RB1/ELOVL5/GNL3L/SPTLC1/MRPS24/GPD2/HOXD8/MRM1/MIR107/MYO10/MIR20A/MIR17/TERT/MIR378A/ANP32B/GAS2L1/TMEM43/CEBPB/GFM1/MIR3074/MIRLET7A2/CLDN1/PGM1/PTBP1/GNPNAT1/PLAG1/MIRLET7A1/CIAO2A/HIPK3/USP1/GNAI2/NOTCH1/TRIP13/CPNE8/CTSC/CTNNB1/NUCB1/ADIPOR2/TYMS/TMT1A/WDR11/MRC2/AXL/CDKN1B/CALCOCO2/TNFAIP2"
"WP_PLEURAL_MESOTHELIOMA","WP_PLEURAL_MESOTHELIOMA",439,-0.299957889063821,-1.39361318072082,0.000122546983089791,0.00807584618561722,0.00686263105302829,4546,"tags=21%, list=12%, signal=18%","PIK3CG/PDGFB/ITGB2/ROR1/TEAD1/LAMA5/CDH13/ELK1/IL10/CDH17/MEF2D/FGF6/RASSF7/BRCA1/CDH5/PDGFC/IL34/TELO2/MOB1A/FOXM1/MDK/TEAD3/PRB2/DVL2/STK38L/PLAU/LIMD1/FGF1/YAP1/ATM/VGLL4/CSNK1A1/COL4A5/PAK4/STK3/TEAD2/EGF/INS/FOXO1/MMP14/SUZ12/LEF1/BAX/ANGPT2/MTOR/KIF23/ACTA1/CCND3/RASSF3/BARD1/FGFR2/TERT/MDM4/CDK4/ITGB4/AREG/CSF1R/NFKB1/TP53/LAMA2/SHC1/PDGFRA/NOTUM/LAMA1/FLT3LG/FGF22/TGFA/MAP3K6/CDK2/RPS6/CTNNB1/PODXL/WWC1/LAMB2/MKNK1/RYK/ROR2/NTRK2/SP1/LAMC3/FZD7/FGFR1/TCF7L1/RASSF2/WWTR1/BTC/EIF4B/CSF1/SFRP4/FGF8/CD44"
