gene_symbol,log2fc,pvalue,padj,diffexpressed,is_purinergic,purinergic_category,is_mitochondrial,mito_category,mito_complex,is_crosstalk,top_hallmark
ZNF71-SMIM17,0.3912562733228021,2.2348339827848384e-5,2.2348339827848384e-5,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ESR2,0.15810601230324828,2.621616584976963e-5,2.621616584976963e-5,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PURPL,-0.7855168556873611,5.042439328926847e-5,5.042439328926847e-5,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
TPBGL-AS1,0.38567688555897184,5.049124213756073e-5,5.049124213756073e-5,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
WSCD2,0.9763478974516652,8.516821618720432e-5,8.516821618720432e-5,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105371972,1.1567740020585198,2.0473194146484024e-4,2.0473194146484024e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01990,0.2112768718655441,2.194384067684349e-4,2.194384067684349e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SLCO2B1,0.2978016258125819,3.0645237841073414e-4,3.0645237841073414e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105371075,0.26674479070345425,3.77192568834969e-4,3.77192568834969e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107985144,0.1121112302560691,3.80047032606112e-4,3.80047032606112e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PRKAR2B-AS1,0.07942596163386724,3.977416367546665e-4,3.977416367546665e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CD44,-0.8188942228340336,4.683473120727538e-4,4.683473120727538e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
WDR11-DT,0.6193145125676806,5.319036712419258e-4,5.319036712419258e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SNORA14A,1.0721020964172776,6.873111204961393e-4,6.873111204961393e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CHCHD2,-2.135947333696298,6.992721369243882e-4,6.992721369243882e-4,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
TNFSF11,0.4868326376701366,7.69639815736197e-4,7.69639815736197e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SQLE-DT,-0.19351944679464889,7.867369267469894e-4,7.867369267469894e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MIR1295B,-0.9844252948522636,7.881199343359181e-4,7.881199343359181e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MIR1295A,-0.8017587917439445,7.885095299077951e-4,7.885095299077951e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105379329,1.1422454491954874,8.141272377979047e-4,8.141272377979047e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ANK1,0.7782496701412664,9.6933159260736e-4,9.6933159260736e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105373682,-0.08922016119790381,9.840721397285008e-4,9.840721397285008e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107986918,0.29920811506648654,0.00118234527652171,0.00118234527652171,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CYFIP1,-0.28364885861718897,0.00118413140894341,0.00118413140894341,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SNORD25,0.8143761536580111,0.00119439989166692,0.00119439989166692,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
NMNAT3,0.2150610429111989,0.00119859688422786,0.00119859688422786,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ADRA1D,0.9775402938733284,0.00119972182226826,0.00119972182226826,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107984589,0.02306733244786369,0.00121247564214489,0.00121247564214489,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01087,0.04389739701877786,0.00129677062338634,0.00129677062338634,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SPDYE10,0.443021373397428,0.00134319876445832,0.00134319876445832,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SMTNL2,0.44118470273266813,0.00134844852106792,0.00134844852106792,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
DAG1,-0.29083967978261477,0.0013939447855754,0.0013939447855754,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107987389,0.28953418826887756,0.00143548152709431,0.00143548152709431,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ARHGAP28,1.102444275251597,0.00151236864635054,0.00151236864635054,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
UOX,0.9457586056251528,0.00154381394492689,0.00154381394492689,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
