gene_symbol,function_group,log2fc,pvalue,padj,sig,direction
ATP5F1A,ATP production,-0.02507160097101221,0.7781202116855719,0.7781202116855719,FALSE,ns
ATP5F1B,ATP production,-0.02353506539695182,0.8210576603716264,0.8210576603716264,FALSE,ns
ATP5F1C,ATP production,0.11250135542402848,0.14753400314313125,0.14753400314313125,FALSE,ns
SLC25A4,ATP/ADP transport,0.10500365743552856,0.5812995032879862,0.5812995032879862,FALSE,ns
SLC25A5,ATP/ADP transport,-0.07157580495500099,0.5065737618042934,0.5065737618042934,FALSE,ns
SLC25A6,ATP/ADP transport,-0.10285097685891452,0.48445788754006214,0.48445788754006214,FALSE,ns
VDAC1,ATP/ADP transport,0.09313378062243624,0.4719674316914366,0.4719674316914366,FALSE,ns
VDAC2,ATP/ADP transport,0.01669220471164485,0.9085564994326338,0.9085564994326338,FALSE,ns
VDAC3,ATP/ADP transport,0.18214315683954907,0.23557212578952816,0.23557212578952816,FALSE,ns
PANX1,ATP release,0.4230409014113479,0.116594828053241,0.116594828053241,FALSE,ns
PANX2,ATP release,0.0420592025782209,0.8220220502884141,0.8220220502884141,FALSE,ns
SLC17A9,ATP release,-0.44873937666767105,0.23476825209854912,0.23476825209854912,FALSE,ns
CALHM1,ATP release,-0.05458266701884597,0.6802541583797574,0.6802541583797574,FALSE,ns
ENTPD1,Extracellular ATP metabolism,-0.06989158503948,0.794935700463036,0.794935700463036,FALSE,ns
NT5E,Extracellular ATP metabolism,-0.6088255010109771,0.6252280203584633,0.6252280203584633,FALSE,ns
ADA,Extracellular ATP metabolism,0.05800792366619151,0.8429925889566059,0.8429925889566059,FALSE,ns
P2RX4,Purinergic receptors,-0.1908095878209055,0.39041816918941774,0.39041816918941774,FALSE,ns
P2RX7,Purinergic receptors,-0.33473093212608634,0.20617996866749064,0.20617996866749064,FALSE,ns
P2RY2,Purinergic receptors,-1.80822841734541e-4,0.9982021504790644,0.9982021504790644,FALSE,ns
ADORA1,Purinergic receptors,0.7634862464344666,0.22469656210796743,0.22469656210796743,FALSE,ns
ADORA2A,Purinergic receptors,0.0787408293480975,0.6836629211079139,0.6836629211079139,FALSE,ns
NLRP3,Inflammasome/downstream,0.03115540722669077,0.8197894009929205,0.8197894009929205,FALSE,ns
CASP1,Inflammasome/downstream,-0.09671145394260816,0.8044593968613152,0.8044593968613152,FALSE,ns
IL1B,Inflammasome/downstream,-0.0748811328316677,0.7554877202939461,0.7554877202939461,FALSE,ns
TXNIP,Inflammasome/downstream,-0.4457349233596931,0.4003072235959245,0.4003072235959245,FALSE,ns
SOD2,Mito ROS defense,-0.24999682267220985,0.36086104512893535,0.36086104512893535,FALSE,ns
GPX1,Mito ROS defense,-0.10321842001326166,0.5270172316600978,0.5270172316600978,FALSE,ns
CAT,Mito ROS defense,-0.14478268495082736,0.6265491907622901,0.6265491907622901,FALSE,ns
