"category","n_genes","n_measured","n_sig","n_up","n_down","mean_lfc","median_lfc"
"ros_defense",19,19,0,0,0,-0.0848429052318936,-0.0960747510282312
"fission",5,5,0,0,0,0.0838875298338344,0.109044696751825
"complex_V",18,16,0,0,0,0.0738625680132712,0.0722742944746743
"complex_I",45,38,0,0,0,0.0596632287869358,0.0799495367535989
"complex_III",12,11,0,0,0,0.0464601617831064,0.032401001807142
"tca_cycle",21,21,0,0,0,-0.0400918398634864,0.00402368098590187
"mitophagy",14,14,0,0,0,-0.0390562309214359,0.0025502964718427
"mito_apoptosis",16,16,0,0,0,0.0338024388198341,0.0375344650455551
"complex_IV",30,27,0,0,0,0.0240408168697112,0.0359898570552142
"mtdna_maintenance",13,13,0,0,0,-0.0138353397208695,0.000503646380010959
"complex_II",6,6,0,0,0,-0.0126171386111687,-0.00914779772230542
"fusion",4,4,0,0,0,0.0110432483913835,0.0265667848338951
"mito_transport",13,13,0,0,0,0.0068891558472961,-0.0105463488747804
