"gene_symbol","category","complex","log2fc","pvalue","padj","diffexpressed","sig","direction"
"NDUFA1","complex_I","Complex I",0.0923083100787945,0.510354208932795,0.510354208932795,"NS",FALSE,"NS"
"NDUFA2","complex_I","Complex I",-0.0997336891893438,0.414497200701305,0.414497200701305,"NS",FALSE,"NS"
"NDUFA3","complex_I","Complex I",0.188779512827502,0.308981542880585,0.308981542880585,"NS",FALSE,"NS"
"NDUFA4","complex_I","Complex I",0.167824134566753,0.136013687684283,0.136013687684283,"NS",FALSE,"NS"
"NDUFA5","complex_I","Complex I",0.114188459411137,0.394730646261144,0.394730646261144,"NS",FALSE,"NS"
"NDUFA6","complex_I","Complex I",-0.157053829498028,0.370139979292563,0.370139979292563,"NS",FALSE,"NS"
"NDUFA7","complex_I","Complex I",0.0595173350135624,0.699554333205899,0.699554333205899,"NS",FALSE,"NS"
"NDUFA8","complex_I","Complex I",0.106368368495981,0.074169900514261,0.074169900514261,"NS",FALSE,"NS"
"NDUFA9","complex_I","Complex I",0.201905637611684,0.21932411428575,0.21932411428575,"NS",FALSE,"NS"
"NDUFA10","complex_I","Complex I",-0.0700078475557687,0.586789614088413,0.586789614088413,"NS",FALSE,"NS"
"NDUFA11","complex_I","Complex I",0.125451804302602,0.209713368254187,0.209713368254187,"NS",FALSE,"NS"
"NDUFA12","complex_I","Complex I",0.17150707753121,0.0532440583871155,0.0532440583871155,"NS",FALSE,"NS"
"NDUFA13","complex_I","Complex I",0.12916624208223,0.358117030939616,0.358117030939616,"NS",FALSE,"NS"
"NDUFAB1","complex_I","Complex I",-0.0701824552900033,0.611771269047787,0.611771269047787,"NS",FALSE,"NS"
"NDUFB1","complex_I","Complex I",0.143399002147138,0.347942593672668,0.347942593672668,"NS",FALSE,"NS"
"NDUFB2","complex_I","Complex I",-0.00820839460342132,0.942541948519993,0.942541948519993,"NS",FALSE,"NS"
"NDUFB3","complex_I","Complex I",0.0304216868372765,0.77542053338787,0.77542053338787,"NS",FALSE,"NS"
"NDUFB4","complex_I","Complex I",0.00693237538723779,0.931948207524631,0.931948207524631,"NS",FALSE,"NS"
"NDUFB5","complex_I","Complex I",0.0315425482403708,0.819216058763483,0.819216058763483,"NS",FALSE,"NS"
"NDUFB6","complex_I","Complex I",0.0968794730910307,0.306273073702413,0.306273073702413,"NS",FALSE,"NS"
"NDUFB7","complex_I","Complex I",-0.0205670700766845,0.896692243365677,0.896692243365677,"NS",FALSE,"NS"
"NDUFB8","complex_I","Complex I",0.214466036684125,0.0473761812676545,0.0473761812676545,"NS",FALSE,"NS"
"NDUFB9","complex_I","Complex I",0.121081151650283,0.188654311749313,0.188654311749313,"NS",FALSE,"NS"
"NDUFB10","complex_I","Complex I",0.0390228989270755,0.6845378421477,0.6845378421477,"NS",FALSE,"NS"
"NDUFB11","complex_I","Complex I",0.00145857745158145,0.988363037312075,0.988363037312075,"NS",FALSE,"NS"
"NDUFC1","complex_I","Complex I",0.0823365837127054,0.495277365000644,0.495277365000644,"NS",FALSE,"NS"
"NDUFC2","complex_I","Complex I",0.0959912790168864,0.208141998012855,0.208141998012855,"NS",FALSE,"NS"
"NDUFS1","complex_I","Complex I",0.200476976422793,0.21676289209302,0.21676289209302,"NS",FALSE,"NS"
"NDUFS2","complex_I","Complex I",0.0835326663730977,0.614979866435756,0.614979866435756,"NS",FALSE,"NS"
"NDUFS3","complex_I","Complex I",0.000608989051207568,0.994969667413515,0.994969667413515,"NS",FALSE,"NS"
"NDUFS4","complex_I","Complex I",0.129578796538336,0.208773520807597,0.208773520807597,"NS",FALSE,"NS"
"NDUFS5","complex_I","Complex I",0.16354022294622,0.23399859214182,0.23399859214182,"NS",FALSE,"NS"
"NDUFS6","complex_I","Complex I",-0.0226014289371325,0.766109117804063,0.766109117804063,"NS",FALSE,"NS"
"NDUFS7","complex_I","Complex I",-0.0190155382144989,0.921707475771345,0.921707475771345,"NS",FALSE,"NS"
