gene_symbol,log2fc,pvalue,padj,diffexpressed,calcium_category,sig,direction
CAMK1G,0.6654242683122069,0.00916264071236002,0.00916264071236002,NS,calcium_binding,FALSE,NS
MCUB,-0.34774980873656813,0.02053338416238958,0.02053338416238958,NS,calcium_transport,FALSE,NS
CALML3-AS1,-0.0670590592376026,0.0278345755144119,0.0278345755144119,NS,calcium_binding,FALSE,NS
CACNA1I,0.3550575466201913,0.03149067156056946,0.03149067156056946,NS,calcium_channels,FALSE,NS
TRPV6,0.21962706485833192,0.05705302796371823,0.05705302796371823,NS,calcium_channels,FALSE,NS
ATP2B1-AS1,0.7255842382770901,0.06373445380340477,0.06373445380340477,NS,calcium_transport,FALSE,NS
CAMK2D,0.15975694105891855,0.07524833617273743,0.07524833617273743,NS,calcium_binding,FALSE,NS
CACNA1G-AS1,0.24388243460794393,0.07892257485394596,0.07892257485394596,NS,calcium_channels,FALSE,NS
TRPC5,0.5741276694324043,0.09773948741235262,0.09773948741235262,NS,calcium_channels,FALSE,NS
CACNA1G,0.5701160339488601,0.09870047617047614,0.09870047617047614,NS,calcium_channels,FALSE,NS
ATP2C2-AS1,0.2173421709967614,0.11889752855614524,0.11889752855614524,NS,calcium_transport,FALSE,NS
TRPM1,0.04432938818679135,0.12074750308468868,0.12074750308468868,NS,calcium_channels,FALSE,NS
S100A14,0.2451253104166316,0.12825364922301696,0.12825364922301696,NS,calcium_binding,FALSE,NS
CACNA1C-AS1,0.2968671465320739,0.1294957514466996,0.1294957514466996,NS,calcium_channels,FALSE,NS
ATP2B1,0.5134195604182312,0.1295936904773125,0.1295936904773125,NS,calcium_transport,FALSE,NS
CACNA1A,0.6132983494924874,0.1339663073176946,0.1339663073176946,NS,calcium_channels,FALSE,NS
SLC8A1,0.29835254499372743,0.13602256461998402,0.13602256461998402,NS,calcium_transport,FALSE,NS
TRPC6,0.1333215958858169,0.13614979883377723,0.13614979883377723,NS,calcium_channels,FALSE,NS
CACNA1C-AS2,0.5150924873418022,0.1377551422631275,0.1377551422631275,NS,calcium_channels,FALSE,NS
TRPM6,0.03713934143809014,0.14086661474839882,0.14086661474839882,NS,calcium_channels,FALSE,NS
SLC8A1-AS1,0.4638032286048768,0.14179325283914926,0.14179325283914926,NS,calcium_transport,FALSE,NS
S100A7,0.4031265091786837,0.1460179199019304,0.1460179199019304,NS,calcium_binding,FALSE,NS
TRPM7,-0.2291568186983796,0.1519801554809976,0.1519801554809976,NS,calcium_channels,FALSE,NS
CACNG1,0.3892015207467687,0.15256228818206463,0.15256228818206463,NS,calcium_channels,FALSE,NS
CACNA2D2,0.4054415320642595,0.15640870486417824,0.15640870486417824,NS,calcium_channels,FALSE,NS
CAMK2B,0.6338011058214972,0.16155088898438677,0.16155088898438677,NS,calcium_binding,FALSE,NS
CACNG2,0.6727017021377645,0.18225370508019037,0.18225370508019037,NS,calcium_channels,FALSE,NS
CACNA1E,0.7661575579200138,0.1874995314324148,0.1874995314324148,NS,calcium_channels,FALSE,NS
SLC8A3,0.46184393549856584,0.1886588287025895,0.1886588287025895,NS,calcium_transport,FALSE,NS
TRPM4,-0.1907829436295437,0.20009896584120937,0.20009896584120937,NS,calcium_channels,FALSE,NS
S100A6,-0.17704794540218335,0.20404657456585865,0.20404657456585865,NS,calcium_binding,FALSE,NS
CALM3,0.3023531706798983,0.20953417127708143,0.20953417127708143,NS,calcium_binding,FALSE,NS
ATP2C2,0.19732324907626303,0.2278950936577194,0.2278950936577194,NS,calcium_transport,FALSE,NS
CACNB1,0.3956678768459546,0.23096852153309483,0.23096852153309483,NS,calcium_channels,FALSE,NS
CAMK1,0.22021786458867532,0.235013507529391,0.235013507529391,NS,calcium_binding,FALSE,NS
TRPC3,0.20640132114088663,0.26012137797171797,0.26012137797171797,NS,calcium_channels,FALSE,NS
CACNA1C-AS4,0.186398299098598,0.267210613624654,0.267210613624654,NS,calcium_channels,FALSE,NS
STIM1,-0.09662935445759496,0.2676610133065769,0.2676610133065769,NS,calcium_channels,FALSE,NS
CACNA1S,-0.07394812446252955,0.2682085393641279,0.2682085393641279,NS,calcium_channels,FALSE,NS
TRPV5,0.04195323306257308,0.2710458724251408,0.2710458724251408,NS,calcium_channels,FALSE,NS
TRPC7-AS2,0.07639612468100786,0.28315242470818086,0.28315242470818086,NS,calcium_channels,FALSE,NS
CACNA1C,0.3314468317109499,0.29331381567222065,0.29331381567222065,NS,calcium_channels,FALSE,NS
TRPM2,0.12180434589537747,0.2958618509022886,0.2958618509022886,NS,calcium_channels,FALSE,NS
CANT1,-0.10620475000808556,0.2970451484798291,0.2970451484798291,NS,calcium_binding,FALSE,NS
S100Z,-0.02963115724302231,0.3102946728153939,0.3102946728153939,NS,calcium_binding,FALSE,NS
CACNA1C-IT1,-0.01593568487216496,0.3105975537025381,0.3105975537025381,NS,calcium_channels,FALSE,NS
TRPM5,0.0422422541822268,0.31209386522182075,0.31209386522182075,NS,calcium_channels,FALSE,NS
CAMKV,0.22835133887236417,0.31249283976999204,0.31249283976999204,NS,calcium_binding,FALSE,NS
TRPM8,0.10544987685963313,0.3169537474136915,0.3169537474136915,NS,calcium_channels,FALSE,NS
CACNB2,-0.12779796046918285,0.3450887237448976,0.3450887237448976,NS,calcium_channels,FALSE,NS
CAND1.11,-0.2708610942529984,0.346863657298131,0.346863657298131,NS,calcium_binding,FALSE,NS
CAMK2N2,0.40974652508083287,0.34797279362478983,0.34797279362478983,NS,calcium_binding,FALSE,NS
CACNA1H,0.14626633480876525,0.352769854233757,0.352769854233757,NS,calcium_channels,FALSE,NS
S100A3,0.1837839267363796,0.35821069666418887,0.35821069666418887,NS,calcium_binding,FALSE,NS
TRPC5OS,-0.06987202069722598,0.3642812500264102,0.3642812500264102,NS,calcium_channels,FALSE,NS
CACNG7,0.17411640419871768,0.3739094780941917,0.3739094780941917,NS,calcium_channels,FALSE,NS
