gene_symbol,category,log2fc,pvalue,padj,diffexpressed,sig,direction,measured
P2RX1,P2X_receptors,0.02652411961101216,0.8884904750984491,0.8884904750984491,NS,FALSE,NS,TRUE
P2RX2,P2X_receptors,0.2512108132607934,0.587465524819168,0.587465524819168,NS,FALSE,NS,TRUE
P2RX3,P2X_receptors,0.05698278704382498,0.9074021934298458,0.9074021934298458,NS,FALSE,NS,TRUE
P2RX4,P2X_receptors,-0.1908095878209055,0.39041816918941774,0.39041816918941774,NS,FALSE,NS,TRUE
P2RX5,P2X_receptors,0.10178064818669248,0.6300932334268473,0.6300932334268473,NS,FALSE,NS,TRUE
P2RX6,P2X_receptors,-0.23305293620361345,0.28709324189528534,0.28709324189528534,NS,FALSE,NS,TRUE
P2RX7,P2X_receptors,-0.33473093212608634,0.20617996866749064,0.20617996866749064,NS,FALSE,NS,TRUE
P2RY1,P2Y_receptors,-0.12508048470044855,0.700421889425578,0.700421889425578,NS,FALSE,NS,TRUE
P2RY2,P2Y_receptors,-1.80822841734541e-4,0.9982021504790644,0.9982021504790644,NS,FALSE,NS,TRUE
P2RY4,P2Y_receptors,0.03481716279299114,0.8275327581702348,0.8275327581702348,NS,FALSE,NS,TRUE
P2RY6,P2Y_receptors,0.01728138111251616,0.7593036773108874,0.7593036773108874,NS,FALSE,NS,TRUE
P2RY8,P2Y_receptors,-5.238764531331889e-4,0.9158174973646562,0.9158174973646562,NS,FALSE,NS,TRUE
P2RY10,P2Y_receptors,0,1,1,NS,FALSE,NS,TRUE
P2RY11,P2Y_receptors,-0.08283070909146834,0.7460520566819906,0.7460520566819906,NS,FALSE,NS,TRUE
P2RY12,P2Y_receptors,0.0493536658450303,0.5803804932663484,0.5803804932663484,NS,FALSE,NS,TRUE
P2RY13,P2Y_receptors,0.01203583270956074,0.19818564965291136,0.19818564965291136,NS,FALSE,NS,TRUE
P2RY14,P2Y_receptors,-0.02068859981134723,0.6234810395687191,0.6234810395687191,NS,FALSE,NS,TRUE
ADORA1,P1_receptors,0.7634862464344666,0.22469656210796743,0.22469656210796743,NS,FALSE,NS,TRUE
ADORA2A,P1_receptors,0.0787408293480975,0.6836629211079139,0.6836629211079139,NS,FALSE,NS,TRUE
ADORA2B,P1_receptors,-0.2637524069709701,0.12672594116247626,0.12672594116247626,NS,FALSE,NS,TRUE
ADORA3,P1_receptors,0.02597968307423193,0.2613380999622527,0.2613380999622527,NS,FALSE,NS,TRUE
ENTPD1,ectonucleotidases,-0.06989158503948,0.794935700463036,0.794935700463036,NS,FALSE,NS,TRUE
ENTPD2,ectonucleotidases,-0.0328623396137991,0.7262086391484242,0.7262086391484242,NS,FALSE,NS,TRUE
ENTPD3,ectonucleotidases,-0.8438848436024471,0.114493254946901,0.114493254946901,NS,FALSE,NS,TRUE
ENTPD4,ectonucleotidases,0.05946477322555413,0.6170321822341838,0.6170321822341838,NS,FALSE,NS,TRUE
ENTPD5,ectonucleotidases,-0.04615547638270801,0.7486968902094917,0.7486968902094917,NS,FALSE,NS,TRUE
ENTPD6,ectonucleotidases,0.14834047694000374,0.4032756012272652,0.4032756012272652,NS,FALSE,NS,TRUE
ENTPD7,ectonucleotidases,-0.12484599380417516,0.5356062258047805,0.5356062258047805,NS,FALSE,NS,TRUE
ENTPD8,ectonucleotidases,-0.23368105152293567,0.42780148436408255,0.42780148436408255,NS,FALSE,NS,TRUE
NT5E,ectonucleotidases,-0.6088255010109771,0.6252280203584633,0.6252280203584633,NS,FALSE,NS,TRUE
ENPP1,ectonucleotidases,-0.05593230435956264,0.8861709496052431,0.8861709496052431,NS,FALSE,NS,TRUE
ENPP2,ectonucleotidases,0.08360385803319126,0.8461796026370414,0.8461796026370414,NS,FALSE,NS,TRUE
ENPP3,ectonucleotidases,-0.288231588352923,0.40314105511359694,0.40314105511359694,NS,FALSE,NS,TRUE
ENPP4,ectonucleotidases,0.04826536562183207,0.8773869101544111,0.8773869101544111,NS,FALSE,NS,TRUE
ENPP5,ectonucleotidases,-0.31281885039780405,0.41417066483009657,0.41417066483009657,NS,FALSE,NS,TRUE
ENPP6,ectonucleotidases,-0.04003169605390138,0.7264069803199219,0.7264069803199219,NS,FALSE,NS,TRUE
ENPP7,ectonucleotidases,-0.00616155842572411,0.3910022189557706,0.3910022189557706,NS,FALSE,NS,TRUE
ADA,ectonucleotidases,0.05800792366619151,0.8429925889566059,0.8429925889566059,NS,FALSE,NS,TRUE
ADA2,ectonucleotidases,-0.5992165815164503,0.3457082710359682,0.3457082710359682,NS,FALSE,NS,TRUE
PNP,ectonucleotidases,0.17142815986545937,0.1383248479757713,0.1383248479757713,NS,FALSE,NS,TRUE
ALPL,ectonucleotidases,0.00327527232263176,0.98895347116409,0.98895347116409,NS,FALSE,NS,TRUE
TNAP,ectonucleotidases,NA,NA,NA,NA,NA,NS,FALSE
PANX1,atp_release,0.4230409014113479,0.116594828053241,0.116594828053241,NS,FALSE,NS,TRUE
PANX2,atp_release,0.0420592025782209,0.8220220502884141,0.8220220502884141,NS,FALSE,NS,TRUE
PANX3,atp_release,-0.15118085401808184,0.5226328080254657,0.5226328080254657,NS,FALSE,NS,TRUE
GJA1,atp_release,-0.2744118310197222,0.3614038922869481,0.3614038922869481,NS,FALSE,NS,TRUE
GJB1,atp_release,0.00934358880959398,0.3910022189557706,0.3910022189557706,NS,FALSE,NS,TRUE
GJB2,atp_release,-0.8065914437307291,0.1777358727782164,0.1777358727782164,NS,FALSE,NS,TRUE
GJC1,atp_release,-0.1449866359393985,0.6349662788902728,0.6349662788902728,NS,FALSE,NS,TRUE
SLC17A9,atp_release,-0.44873937666767105,0.23476825209854912,0.23476825209854912,NS,FALSE,NS,TRUE
VDAC1,atp_release,0.09313378062243624,0.4719674316914366,0.4719674316914366,NS,FALSE,NS,TRUE
VDAC2,atp_release,0.01669220471164485,0.9085564994326338,0.9085564994326338,NS,FALSE,NS,TRUE
VDAC3,atp_release,0.18214315683954907,0.23557212578952816,0.23557212578952816,NS,FALSE,NS,TRUE
