gene_symbol,log2fc,pvalue,padj,diffexpressed,sig,direction,sig_label
NFKB2,-0.4743257176411917,0.02583061530727224,0.02583061530727224,NS,FALSE,NS,*
PANX1,0.4230409014113479,0.116594828053241,0.116594828053241,NS,FALSE,NS,
NFKB1,-0.3869672166148537,0.1609155365637624,0.1609155365637624,NS,FALSE,NS,
P2RX7,-0.33473093212608634,0.20617996866749064,0.20617996866749064,NS,FALSE,NS,
TXNIP,-0.4457349233596931,0.4003072235959245,0.4003072235959245,NS,FALSE,NS,
RELA,-0.224344736864515,0.40817446959752224,0.40817446959752224,NS,FALSE,NS,
PYCARD,-0.1976287067245364,0.4820481839720218,0.4820481839720218,NS,FALSE,NS,
HMGB1,0.1134713576118496,0.4926709413940745,0.4926709413940745,NS,FALSE,NS,
IL18,-0.2685805536956752,0.5306266693540924,0.5306266693540924,NS,FALSE,NS,
CXCL8,0.4631058105986019,0.5562662203766724,0.5562662203766724,NS,FALSE,NS,
TNF,0.04117269422549428,0.7516185169002885,0.7516185169002885,NS,FALSE,NS,
IL1B,-0.0748811328316677,0.7554877202939461,0.7554877202939461,NS,FALSE,NS,
CASP1,-0.09671145394260816,0.8044593968613152,0.8044593968613152,NS,FALSE,NS,
NLRP3,0.03115540722669077,0.8197894009929205,0.8197894009929205,NS,FALSE,NS,
IL6,-0.01007033460857835,0.9705080423569604,0.9705080423569604,NS,FALSE,NS,
