gene_symbol,log2fc,pvalue,padj,diffexpressed,is_purinergic,purinergic_category,is_mitochondrial,mito_category,mito_complex,is_crosstalk,top_hallmark
CRLF1,1.7725989451438835,4.42e-6,4.42e-6,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105369401,4.704328949248108,1.18e-5,1.18e-5,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
IGF1,1.6225712803368624,1.4806e-4,1.4806e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105376311,2.224687893045932,1.75604e-4,1.75604e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
MELK,-0.7732156039532821,2.2547e-4,2.2547e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
HLX-AS1,1.7449555833945438,2.3881e-4,2.3881e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SCARA3,-0.6320468605938246,2.91296e-4,2.91296e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SLC22A17,0.27170799476437957,2.94325e-4,2.94325e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
COL22A1,-3.3451746798483395,3.39764e-4,3.39764e-4,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CHCHD2,-2.0771087405349418,3.93492e-4,3.93492e-4,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CDRT15P3,0.8409806428878501,4.10269e-4,4.10269e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
DHX8,0.1347921667580511,4.1187e-4,4.1187e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CRTC3,-0.2831017201542255,5.98293e-4,5.98293e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
IQCM,2.045995270794805,6.92221e-4,6.92221e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
RAC2,1.371428457716651,9.41102e-4,9.41102e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01524,4.210002440543162,0.001001008,0.001001008,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
TMCO4,-0.5131524984851248,0.00103422,0.00103422,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RAMAC,0.4089670927730823,0.001324898,0.001324898,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC112268029,3.4984882926129153,0.001404447,0.001404447,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
RASSF2,-1.3026401598931376,0.001415304,0.001415304,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CDCA2,-1.1753649338541374,0.001440265,0.001440265,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
KIF20B,-0.6379619952033686,0.001549154,0.001549154,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
GPR157,0.5706765496860488,0.001574051,0.001574051,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
HLX,1.5648667879639797,0.001631064,0.001631064,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SLIT2-IT1,1.5586798606583343,0.001652354,0.001652354,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
