gene_symbol,log2fc,pvalue,padj,diffexpressed,is_purinergic,purinergic_category,is_mitochondrial,mito_category,mito_complex,is_crosstalk,top_hallmark
ZNF71-SMIM17,0.5510688110493508,2.23e-5,2.23e-5,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ESR2,0.3842146979677075,2.62e-5,2.62e-5,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PURPL,-0.7902468644414226,5.04e-5,5.04e-5,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
TPBGL-AS1,0.8411628662653333,5.05e-5,5.05e-5,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
WSCD2,1.1305876909146568,8.52e-5,8.52e-5,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105371972,2.295419787833215,2.04732e-4,2.04732e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01990,0.8904132062011797,2.19438e-4,2.19438e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SLCO2B1,1.2788776360001213,3.06452e-4,3.06452e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105371075,3.444346117625058,3.77193e-4,3.77193e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107985144,2.7398241595942214,3.80047e-4,3.80047e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
PRKAR2B-AS1,1.8496103621224964,3.97742e-4,3.97742e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CD44,-0.8279392550673623,4.68347e-4,4.68347e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
WDR11-DT,1.5332743646496123,5.31904e-4,5.31904e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SNORA14A,3.866038647266477,6.87311e-4,6.87311e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CHCHD2,-2.171939162572155,6.99272e-4,6.99272e-4,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
TNFSF11,1.4612972560672823,7.6964e-4,7.6964e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105379329,1.4782202092014511,8.14127e-4,8.14127e-4,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ANK1,0.8391469456493433,9.69332e-4,9.69332e-4,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107986918,1.3108102898574203,0.001182345,0.001182345,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CYFIP1,-0.29294705901732643,0.001184131,0.001184131,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SNORD25,0.8289251215805186,0.0011944,0.0011944,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
NMNAT3,0.2907170761210569,0.001198597,0.001198597,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ADRA1D,1.2372012204301746,0.001199722,0.001199722,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107984589,2.459449862318817,0.001212476,0.001212476,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SPDYE10,0.5195192600767474,0.001343199,0.001343199,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SMTNL2,0.5537167003349879,0.001348449,0.001348449,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
DAG1,-0.293584664329204,0.001393945,0.001393945,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107987389,1.261079372728455,0.001435482,0.001435482,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ARHGAP28,1.2049096692763024,0.001512369,0.001512369,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
UOX,1.5077510601306514,0.001543814,0.001543814,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ISL1-DT,1.5598901686563311,0.001600702,0.001600702,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
GCH1,0.6661758391034943,0.001612272,0.001612272,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SPATS1,0.924278373421186,0.001620006,0.001620006,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC00051,3.0330410134283436,0.001691754,0.001691754,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
KCNK15-AS1,0.47619314857844175,0.001750363,0.001750363,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105377299,-3.2279413659137353,0.001771964,0.001771964,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SMIM17,0.6939479039545869,0.001801126,0.001801126,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
