"gene_symbol","category","complex","log2fc","pvalue","padj","diffexpressed","sig","direction"
"NDUFA1","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFA2","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFA3","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFA4","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFA5","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFA6","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFA7","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFA8","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFA9","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFA10","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFA11","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFA12","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFA13","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFAB1","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFB1","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFB2","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFB3","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFB4","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFB5","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFB6","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFB7","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFB8","complex_I","Complex I",0.215716116751187,0.047376181,0.047376181,"NS",FALSE,"NS"
"NDUFB9","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFB10","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFB11","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFC1","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFC2","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
"NDUFS1","complex_I","Complex I",NA,NA,NA,NA,NA,"NS"
