gene_symbol,category,log2fc,pvalue,padj,diffexpressed,sig,direction,measured
P2RX1,P2X_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RX2,P2X_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RX3,P2X_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RX4,P2X_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RX5,P2X_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RX6,P2X_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RX7,P2X_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RY1,P2Y_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RY2,P2Y_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RY4,P2Y_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RY6,P2Y_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RY8,P2Y_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RY10,P2Y_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RY11,P2Y_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RY12,P2Y_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RY13,P2Y_receptors,NA,NA,NA,NA,NA,NS,FALSE
P2RY14,P2Y_receptors,NA,NA,NA,NA,NA,NS,FALSE
ADORA1,P1_receptors,NA,NA,NA,NA,NA,NS,FALSE
ADORA2A,P1_receptors,NA,NA,NA,NA,NA,NS,FALSE
ADORA2B,P1_receptors,NA,NA,NA,NA,NA,NS,FALSE
ADORA3,P1_receptors,NA,NA,NA,NA,NA,NS,FALSE
ENTPD1,ectonucleotidases,NA,NA,NA,NA,NA,NS,FALSE
ENTPD2,ectonucleotidases,NA,NA,NA,NA,NA,NS,FALSE
ENTPD3,ectonucleotidases,NA,NA,NA,NA,NA,NS,FALSE
ENTPD4,ectonucleotidases,NA,NA,NA,NA,NA,NS,FALSE
ENTPD5,ectonucleotidases,NA,NA,NA,NA,NA,NS,FALSE
ENTPD6,ectonucleotidases,NA,NA,NA,NA,NA,NS,FALSE
ENTPD7,ectonucleotidases,NA,NA,NA,NA,NA,NS,FALSE
ENTPD8,ectonucleotidases,NA,NA,NA,NA,NA,NS,FALSE
