"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"UP_full_ranked_unpurified","GO:0003073","regulation of systemic arterial blood pressure","3/21","98/18986",0.0306122448979592,27.6763848396501,8.8101955774868,0.000165785000263674,0.0494828041828257,0.0327634268624885,"CALCA/ASIC2/OR51E2",3
"UP_full_ranked_unpurified","GO:1903532","positive regulation of secretion by cell","4/21","298/18986",0.0134228187919463,12.1355065516139,6.44726055274868,0.000288311875003205,0.0494828041828257,0.0327634268624885,"ISL1/F2RL2/OR51E2/GPR158",4
"UP_full_ranked_unpurified","GO:0051047","positive regulation of secretion","4/21","322/18986",0.0124223602484472,11.2309967465247,6.16143745218144,0.00038688139892444,0.0494828041828257,0.0327634268624885,"ISL1/F2RL2/OR51E2/GPR158",4
"UP_full_ranked_unpurified","GO:0051384","response to glucocorticoid","3/21","134/18986",0.0223880597014925,20.2409381663113,7.43769649023847,0.000416573358126274,0.0494828041828257,0.0327634268624885,"ISL1/CPS1/GPR83",3
"UP_full_ranked_unpurified","GO:0048545","response to steroid hormone","4/21","340/18986",0.0117647058823529,10.6364145658263,5.96623861404698,0.000475198748386458,0.0494828041828257,0.0327634268624885,"ISL1/CPS1/GPR83/OR51E2",4
"UP_full_ranked_unpurified","GO:0050714","positive regulation of protein secretion","3/21","150/18986",0.02,18.0819047619048,6.98917813206586,0.000579110231557204,0.0494828041828257,0.0327634268624885,"ISL1/F2RL2/OR51E2",3
"UP_full_ranked_unpurified","GO:0035296","regulation of tube diameter","3/21","154/18986",0.0194805194805195,17.6122448979592,6.88777556063177,0.000625234657877524,0.0494828041828257,0.0327634268624885,"CALCA/CPS1/ASIC2",3
"UP_full_ranked_unpurified","GO:0097746","blood vessel diameter maintenance","3/21","154/18986",0.0194805194805195,17.6122448979592,6.88777556063177,0.000625234657877524,0.0494828041828257,0.0327634268624885,"CALCA/CPS1/ASIC2",3
"UP_full_ranked_unpurified","GO:0035150","regulation of tube size","3/21","155/18986",0.0193548387096774,17.4986175115207,6.86301955538525,0.000637121831718552,0.0494828041828257,0.0327634268624885,"CALCA/CPS1/ASIC2",3
"UP_full_ranked_unpurified","GO:0031960","response to corticosteroid","3/21","156/18986",0.0192307692307692,17.3864468864469,6.8384938138653,0.000649152882321747,0.0494828041828257,0.0327634268624885,"ISL1/CPS1/GPR83",3
